Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,0.0151181365207935,0.0,-0.362700083333337,0.78482,-0.001395
1,0.0720632654658532,-0.97459933322955,0.19151375,0.762288,-0.001217
2,-0.465695705728892,-3.1183150940707,0.0581770833333319,0.779029,-0.001114
3,-0.551618299637019,0.0,-0.056884583333332,0.769741,-0.001168
4,-0.793363250628722,0.0,-0.0430321666666655,0.693342,-0.001221
5,-1.03065753519056,0.0,-0.0415699166666664,0.864293,-0.001194
6,-1.08688630283399,0.0,-0.0016826666666656,0.93495,-0.00122
7,-0.991947175503382,-35.390957564741,0.0041010833333334,0.829119,-0.001194
8,-0.707799236398644,-102.6210171696,0.0008978333333322,0.763785,-0.001212
9,-0.609302319529392,0.0,-0.0004441666666643,0.858959,-0.001158
10,-0.291112531345267,0.0,-0.0010315000000004,0.885684,-0.001179
11,-0.778480123792145,0.0,-0.0017076666666694,0.808522,-0.001266
12,-1.06958758077319,-137.593383175314,0.0010073333333335,0.700215,-0.00135
13,-0.985885604127143,-51.7067710376424,0.00261225,0.691261,-0.001383
14,-0.644595073406611,0.0,-0.0007493333333329,0.821541,-0.001373
15,-0.650108805537345,0.0,-0.0016455833333317,0.845763,-0.00124
16,-0.919542813601593,0.0,-0.0003479166666672,0.798875,-0.001171
17,-1.057548459351,-28.1741106667318,0.0038664166666659,0.845089,-0.001315
18,-1.09151913262586,0.0,-0.0029088333333321,0.773557,-0.001408
19,-1.70464561217793,-2.06870692145462,0.0321196666666665,0.848312,-0.00148
20,-1.62245333326935,-4.77803400657127,0.0420104166666659,0.917309,-0.001392
21,-1.79592349138289,0.0,-0.0015090833333311,0.812666,-0.001372
22,-2.04748956244343,0.0,-0.0023142500000018,0.690844,-0.001443
23,-2.19240545319682,-186.82133824544,0.0010624166666669,0.766683,-0.001535
24,-2.19990629522067,-161.365764100905,0.0011655000000008,0.729779,-0.001549
25,-1.98522201068998,-122.13855642406,0.0009769166666648,0.84748,-0.001546
26,-1.67021682379185,0.0,-0.0076429999999977,0.918191,-0.001485
27,-1.85739417099095,-3.61181411728654,0.0500879166666672,0.841728,-0.001475
28,-1.20330184796277,-3.06262308353126,0.0717498333333308,0.813982,-0.001704
29,-1.11113572801271,0.0,-0.0448148333333336,0.720683,-0.001825
30,-1.06170650516743,0.0,-0.0652125833333344,0.709854,-0.001683
31,-0.830919937178326,0.0,-0.0041181666666683,0.775595,-0.001557
