Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (kg/kg),CO2Y (kg/kg)
0,5.14878937379556,0.0,-0.0349881666666694,0.0,0.0
2,4.07379240480869,-3.42360702489192,0.013148166666678,-0.0024957227330366,-0.0212130813963261
4,2.2865660528155,0.0,-0.0191179999999977,0.0,0.0
6,1.69232935577709,0.0,-0.0306278333333309,0.0,0.0
8,1.70958629696928,0.0,-0.0110360000000001,0.0,0.0
10,0.782270934777592,-0.176376889058375,0.0314978750000006,0.0003769394878297,0.0082109884156797
12,-0.303135998312875,-19.3236348192433,0.0345018749999972,0.0020949090046058,0.0135583302719766
14,-0.157998698912238,0.0,-0.0348660000000015,0.0,0.0
16,-0.168767279644031,0.0,-0.0301083333333327,0.0,0.0
18,-0.360852047662864,-556.711857635076,0.0003385833333358,0.178699509551914,-1.21886505149925
20,-0.539962736329508,1.10882387933614,0.0338495833333307,0.0019141801825216,0.0004049507784218
22,-0.39367387178178,-20.0723791598542,0.0065867083333373,0.0188818699674155,0.0264903012878386
24,-0.354152303086,0.0,-0.0389749583333347,0.0,0.0
26,-0.341569871418921,-1.23078778981492,0.0203815833333305,0.0056155330151253,0.0162144490262346
28,-0.223318911460108,-2.00522333545024,0.0453411249999996,0.0034698398166952,0.0009670935998464
30,-0.0871328928976693,0.0,-0.0212272499999949,0.0,0.0
32,-0.297806979871653,0.0,-0.041163624999997,0.0,0.0
34,-0.112089236009187,0.0,-0.0012222500000026,0.0,0.0
36,-0.372652434474779,0.0,-0.0038633749999998,0.0,0.0
38,-0.306423015136874,15.3697027234495,0.0339680416666675,-0.0025757112801532,0.0072850615983186
40,-0.483808281081781,25.2083216354592,0.0033778750000011,-0.0084784156829548,0.0746800079347553
42,-0.252171098874341,976.530602342697,0.0002844166666644,-0.112390728912882,-1.89456913824075
44,-0.719448423594427,0.0,-0.0033909999999994,0.0,0.0
46,0.427328440691335,0.0,-0.0375686250000022,0.0,0.0
48,0.758143622921286,-7.30741441816308,0.0280057083333312,0.0024242681900761,-0.0142622262895197
50,1.682881949703,0.451277603990453,0.0299521666666696,0.0036365564077229,-0.0045131352282013
52,0.408087280700942,-0.559747032650795,0.0087824999999958,0.0205023158562722,0.152991865941822
54,0.567219525405592,16.2751771841428,0.0025152499999977,0.0666392478104227,0.0510266894850837
56,1.09250514089881,0.0,-0.030408208333327,0.0,0.0
58,-0.182339248616897,0.0,-0.0332303750000017,0.0,0.0
60,-0.41954840709847,1.08637127480025,0.0287106250000004,-0.0009862340062975,0.0225329908955003
62,-0.415144241245028,5.01699570776915,0.0301915833333363,0.0020060067801547,0.0157563521156057
64,-1.01797300310105,0.0,-0.0044039583333344,0.0,0.0
66,-0.807140375711336,225.364040095634,0.0004658749999997,0.22413031659734,2.36652998756284
68,0.4320620680602,2513.96417294211,7.94583333293038e-05,0.788802160920204,-1.42355061152348
70,-0.256778595511871,59.8208906072625,0.0035367916666716,0.0242762149495384,-0.0895443654149104
72,-0.298271114288202,0.0,-0.0239027500000007,0.0,0.0
74,-1.36494778037043,0.0,-0.031467083333333,0.0,0.0
76,-1.54555039484031,0.0,-0.0028197916666693,0.0,0.0
78,-1.52687479632792,9.69707580522428,0.0313401249999986,-0.002198995494691,0.0088020227743251
80,-1.38765019143388,4.37372476476708,0.026556750000001,-0.0026071059971948,-0.0047216180253566
82,-0.356771065970735,110.831228023215,0.0040074583333341,0.0043073811619819,0.117282555309768
84,0.101220845643765,0.0,-0.0576629999999998,0.0,0.0
86,0.0705210685686748,0.0,-0.0330225833333332,0.0,0.0
88,0.316516954723226,0.0,-0.0025070833333362,0.0,0.0
90,0.0075625370536573,62.5110114056796,0.0029832916666675,-0.0117228190289536,-0.007479434140314
92,0.817565337247269,-4.05293255319995,0.0301466666666694,-0.0034752130740708,-0.0072428656895617
94,0.130952882029212,22.9331411943963,0.0201731666666666,-0.0037141491877012,0.0004355706902158
96,-0.13230320687596,6.4566548624927,0.0317957916666659,0.0015701817855406,-0.016310277188592
98,-1.04747950247491,0.0,-0.0006799583333301,0.0,0.0
100,-1.3230243555837,0.0,-0.0273741666666621,0.0,0.0
102,-1.29149989763874,0.0,-0.0197647083333325,0.0,0.0
104,-1.37096271438221,0.0,-0.031092000000004,0.0,0.0
106,-2.02133856690602,0.0,-0.0329975416666652,0.0,0.0
108,-2.07074609793375,7.76062745180854,0.0276220833333317,0.0004692018520354,0.0686083101598429
110,-0.710014301604382,11.1921956821677,0.0299609583333324,-0.0008730303244071,0.0231063167610434
112,0.849899650893066,331.375942681018,0.0007571666666693,0.0918858907967217,0.739697042942694
114,1.23843655997607,10.9163057896789,0.0299077916666644,0.0007376698339897,0.0283305868771668
116,0.758042675338693,18.6251219263658,0.0287743333333334,0.0008462148578463,0.0199989804730134
118,1.63580295929208,1393.58683639199,0.0002820416666657,-0.137103050856918,-1.34007958155425
120,1.85345514452553,0.0,-0.0310170000000003,0.0,0.0
122,0.68931260884015,0.0,-0.0308982499999987,0.0,0.0
124,0.886162622216762,34.659534486877,0.0044160833333381,0.0292763007777874,-0.257243760195086
126,2.19112650648211,11.3301729904285,0.0309220833333352,0.0037004697313454,-0.0577039162613492
128,1.47101936770172,24.9280440123742,0.0193326666666671,0.0075093997189895,-0.0470903308160917
130,0.542494096409707,0.0,-0.0004124166666681,0.0,0.0
132,0.83178815547273,0.0,-0.0167866250000029,0.0,0.0
134,0.94342157421008,0.0,-0.0293556250000033,0.0,0.0
136,0.739163065029036,0.0,-0.0005010833333288,0.0,0.0
138,0.81980954659008,0.0,-0.0013814583333318,0.0,0.0
140,0.943019819247912,0.0,-0.0024505416666678,0.0,0.0
142,2.28449308730402,360.693790831209,0.0021332083333322,-0.0045845035551394,-0.714863247871571
144,1.44241378174056,33.9416559367818,0.0338752499999989,0.0016891842522045,-0.0354570397006721
146,0.893269003162931,895.444255330905,0.000807624999999,0.162534687626392,0.16712456026873
148,0.91847552936098,0.0,-0.0342616666666687,0.0,0.0
150,1.87209531722377,0.0,-0.0067212916666695,0.0,0.0
152,0.887979161915192,15.912197616239,0.0311553750000015,0.0064129213299322,-0.0144060970745158
154,0.565666643304226,27.5053612773452,0.0352264583333367,0.0063992010790951,0.0025366984659573
156,-0.0585875662501145,0.0,-0.0357676666666637,0.0,0.0
158,-0.408081852575281,0.0,-0.0311371250000008,0.0,0.0
160,-0.675660606096893,37.2614409886617,0.0366058333333316,0.0020040986156742,0.0145086325719743
162,-1.44502466678055,37.2129744600389,0.0259751250000022,-0.0034720163921842,0.0394449649659362
164,-2.4304678602523,0.0,-0.002208875000002,0.0,0.0
166,-2.32429511225095,0.0,-0.0280434999999996,0.0,0.0
168,-1.13590251635596,0.0,-0.0025396666666625,0.0,0.0
170,-0.474103520184626,27.5405032001471,0.0482018749999972,0.0021217806895126,-0.0234164982179776
172,0.0366967874567575,35.6605295244517,0.0257993333333329,0.0024777793918458,-0.079822947818933
174,1.27189234325513,0.0,-0.0181726666666625,0.0,0.0
176,1.04112833751683,0.0,-0.027171166666669,0.0,0.0
178,0.598235926399298,0.0,-0.0009096666666685,0.0,0.0
180,-0.573500941528147,0.0,-0.0056804583333314,0.0,0.0
182,-0.248052139430617,0.0,-0.0007139583333373,0.0,0.0
184,-0.174420650139729,201.052582983999,0.006673458333329,0.0197568108134471,-0.0007398136548539
186,-0.788797713765091,183.795346767979,0.0269841666666686,0.0069546847376528,0.0518063048403247
188,-1.15307143865244,1540.11424376363,0.0068837499999988,0.0131031451101781,0.777659264706863
190,-2.33989034834587,1150.69127909921,0.0173872083333322,0.0103679633377688,0.781046266585085
192,-1.5651945488104,452.663931417117,0.0656707916666672,0.0049165730822051,0.387645386266981
194,9.91652813788544,1260.38843277148,0.0259035833333291,0.018731115908504,1.31885338554346
196,27.669598042921,1139.28651663737,0.028835833333335,0.0242815977014275,1.5668796255356
198,44.8509986673426,637.4577353403,0.0503372916666649,0.0205489304594086,1.09000249666266
200,57.5318649113397,664.488744241352,0.046583416666668,0.0233072477181767,1.30184396991897
202,75.3485679455209,594.597693905169,0.0508545000000051,0.0232278105298315,1.2541416541794
204,89.7578938656537,370.128320118626,0.0736082916666643,0.0177673707668682,0.934903681995829
206,95.2472189590119,319.835997095148,0.0776438333333325,0.0165683478143555,0.893740014436212
208,98.0573288393854,375.506450901225,0.0628985416666629,0.0204169629952688,1.10879519244291
210,100.113861325951,902.919617401936,0.0200024583333368,0.0633773817691281,3.55296153653016
212,99.1755553695663,0.0,-0.016432833333333,0.0,0.0
214,97.0623650346018,286.358010979255,0.0584253750000006,0.0193290120607526,1.16398493844468
216,93.3194737937613,158.246810319014,0.0858431249999991,0.0119583299632653,0.792228645322067
218,90.2942446502194,489.885425234494,0.023472333333333,0.0414149249544663,2.78485254915655
