Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,-0.301675893,0.0,-0.10828,1.16059,0.003659
1,-0.01759695,0.0,-0.006150667,1.12859,0.003756
2,0.035473431,0.05241463,0.091092667,0.951369,0.003883
3,-0.175741205,-3.542039906,0.068525167,0.967389,0.003945
4,-0.293475649,3.23737327,0.007562,1.08091,0.004157
5,0.622134232,-95.62776075,0.000376917,0.980742,0.004435
6,1.060641404,0.0,-0.004093,0.993681,0.004785
7,1.351550385,0.0,-0.007474917,1.21031,0.005193
8,1.140484956,0.151218859,0.061414583,1.33366,0.005673
9,1.51624615,-3.987072871,0.013627917,1.42182,0.006267
10,1.821436763,0.0,-0.063243333,1.32607,0.006796
11,2.821467766,0.0,-0.007188,1.13567,0.00725
12,3.309837743,10.62142073,0.004058917,1.119,0.007681
13,3.505124382,0.0,-0.007279333,1.11062,0.007862
14,3.274345056,1.523612796,0.05097375,1.08158,0.007829
15,2.736829732,0.774419013,0.05957325,1.15635,0.007767
16,2.017375084,1.768116233,0.03793725,1.15124,0.007649
17,1.987400842,-2.312348783,0.046334417,1.19071,0.007319
18,1.474692868,0.0,-0.000574917,1.27534,0.007007
19,1.274225843,0.0,-0.01772525,1.28368,0.006834
20,1.03891054,1.199453124,0.053347167,1.11237,0.006612
21,0.857606916,1.122522562,0.066301583,1.03119,0.00637
22,0.832217639,39.0527168,0.002036917,1.14167,0.006081
23,0.958195722,0.0,-0.007869417,1.28234,0.005883
24,1.270729931,-0.065517876,0.053914333,1.28309,0.005663
25,1.229675358,0.905462066,0.0645145,1.21381,0.005344
26,0.207068383,23.42115672,0.001679417,1.07505,0.005144
27,-0.2537009,6.662068636,0.02013725,1.19817,0.00514
28,-0.277602723,32.0233854,0.002979917,1.48583,0.005029
29,-0.947730559,0.0,-0.02628875,1.46035,0.004749
30,-0.892520866,-2.881436162,0.031591583,1.29293,0.004639
31,-0.98737117,0.41653032,0.042861417,1.12996,0.004713
32,-1.23144991,48.11078019,0.003009917,1.0843,0.004728
33,-0.529665163,0.0,-0.001337667,1.10156,0.004699
34,-0.275539713,0.0,-0.000599333,1.19035,0.004612
35,-0.038242254,0.0,-0.007916083,1.25437,0.004479
36,0.22819866,0.058377077,0.052554583,1.19931,0.004344
37,0.034482736,-1.229815399,0.0730255,1.10217,0.004244
38,-0.186011178,0.0,-0.000560833,1.09254,0.004264
39,-0.305389207,-1.289472683,0.041213333,1.22642,0.004332
40,0.533241575,-2.389826083,0.063420083,1.33606,0.004355
41,0.230128084,0.0,-0.007846833,1.39477,0.004312
42,0.248520617,-0.871686813,0.083518083,1.2462,0.004259
43,-0.864064535,0.657508137,0.109907917,1.09392,0.004182
44,-1.294552818,0.0,-0.00399525,1.10589,0.004177
45,-1.375723842,1.172861879,0.085146833,1.15193,0.004225
46,-1.27731379,0.147616107,0.110780333,1.15403,0.004252
47,-0.967007874,2.422055764,0.010875083,1.29496,0.0043
48,-0.904581829,0.0,-0.001377333,1.56606,0.004211
49,-1.13517019,0.0,-0.002979417,1.8146,0.004099
50,-0.88853579,0.0,-0.00146275,2.09886,0.0042
51,-0.37537078,0.0,-0.000314833,2.47198,0.004327
52,-0.16314628,417.2071887,0.00029575,2.84494,0.004514
53,0.172575148,0.0,-0.002084083,3.13272,0.004549
54,0.136480323,0.0,-0.009236917,3.36193,0.004524
55,-0.07838271,2.59949385,0.05098325,3.55237,0.004652
56,-0.282549834,0.496180309,0.066422917,3.70085,0.00488
57,-0.282508611,0.0,-0.000874167,3.88256,0.004934
58,-0.096687522,4.006425677,0.048092667,3.96618,0.004979
59,0.202954048,4.433526979,0.062894083,3.85003,0.005109
60,0.098441505,46.9372671,0.01150475,3.99474,0.005303
61,-0.141018486,0.0,-0.006605333,4.08617,0.005586
62,-1.014604833,13.15557788,0.032323333,4.12433,0.005803
63,-0.413751962,1.816609338,0.159443,4.34115,0.005837
64,-0.035236234,14.42800479,0.062934083,4.53907,0.005962
65,0.243621656,0.0,-0.068846917,4.59246,0.006124
66,0.050916628,24.72885587,0.043716583,4.81449,0.006293
67,-0.169631525,15.64514669,0.067651833,4.81859,0.006385
68,-0.275924998,409.3814395,0.003957,4.80892,0.006454
69,-0.207939864,0.0,-0.010008833,4.79029,0.006555
70,0.041845333,23.68425252,0.065139167,4.80453,0.006577
71,0.218062944,27.43005957,0.067413833,5.00194,0.006623
72,0.000997873,0.0,-0.013749,5.02242,0.0067
73,-0.21925637,50.27709874,0.0313575,4.88113,0.006719
74,-0.282168325,41.69312525,0.04390525,4.90409,0.006761
75,-0.208010301,0.0,-0.004783,5.11166,0.006892
76,0.082017911,62.575704,0.049767917,5.15455,0.006948
77,0.184570112,42.63070916,0.059893167,5.16801,0.006923
78,-0.048311755,46.03328653,0.056406917,5.26487,0.007047
79,-0.237956156,46.48015073,0.054588167,5.37353,0.007136
80,-0.29771385,59.00583659,0.04950475,5.4815,0.007246
81,-0.157075649,77.34881959,0.039953917,5.33161,0.007489
82,0.177234682,111.4797464,0.031389167,5.24998,0.007806
83,0.969631321,23.82513642,0.13691475,5.19915,0.008131
84,0.980520329,20.88429746,0.156745583,5.11206,0.008478
85,1.655775771,17.12413668,0.12363975,5.22395,0.008785
86,1.873884446,7.082001449,0.06493475,5.34074,0.009092
87,2.084302779,491.6622655,0.00086525,5.40969,0.009317
88,2.375497549,37.98956605,0.005776417,5.77641,0.00968
89,2.250766703,0.0,-0.0573265,6.39115,0.010123
90,2.029083541,0.0,-0.011700833,7.09588,0.010674
91,2.754431885,10.79226852,0.062610083,7.8862,0.011738
92,3.822954655,126.9151921,0.005999,8.62593,0.013124
93,5.766882351,0.0,-0.011858833,9.46814,0.014927
94,8.259254329,98.87134277,0.024189583,10.3318,0.017117
95,10.31984972,38.76993861,0.08848725,11.2608,0.019915
96,12.24039461,29.01020757,0.1201825,12.2973,0.022863
97,15.12583341,45.00778291,0.067315083,13.2183,0.026284
98,18.00429767,0.0,-0.00578025,13.8445,0.029592
99,21.98717874,35.52742167,0.0500995,14.6694,0.033305
100,25.22387942,92.23994934,0.059906667,15.3973,0.037128
101,27.35598757,153.9780978,0.037121,15.9915,0.041375
