Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,-0.250297193,-1.114579948,0.068368333,1.18782,0.003311
1,-0.391306145,0.0,-0.0290315,1.1769,0.003311
2,-0.339287751,0.63005941,0.042540667,1.29281,0.003265
3,-0.10872234,17.55458901,0.007464167,1.33495,0.003196
4,0.26603668,0.0,-0.042839333,1.38041,0.003238
5,0.911581083,0.0,-0.000820417,1.32351,0.003267
6,1.385423649,43.45675484,0.003563,1.2507,0.003132
7,1.770672202,0.0,-0.0014305,1.29213,0.003229
8,1.93856853,225.2546991,0.000290833,1.27465,0.003265
9,2.206925485,0.0,-0.00012125,1.30921,0.003244
10,2.387728896,8.089109314,0.008364667,1.33114,0.003233
11,1.219768093,42.76584338,0.002680083,1.32359,0.003225
12,0.793848497,0.0,-0.008676583,1.21504,0.00327
13,0.739258201,0.0,-0.007097,1.06963,0.003261
14,0.835756611,4.88391457,0.038358167,1.10346,0.003258
15,1.149696674,22.40118582,0.00670775,1.22055,0.003299
16,1.18763589,0.0,-0.04161625,1.25194,0.003366
17,0.967879905,0.0,-0.007873,1.22666,0.003347
18,0.747771725,2.722357381,0.03761675,1.26391,0.003352
19,0.706387468,2.015892105,0.043250583,1.19989,0.003266
20,0.896488753,7.633668407,0.016060917,1.05897,0.003278
21,1.24137077,23.04423238,0.003392167,1.01045,0.003322
22,0.271165431,0.0,-0.013251167,1.0933,0.003292
23,-0.202430424,0.0,-0.000437667,1.22382,0.003228
24,-0.378900215,0.0,-0.001879083,1.27046,0.003296
25,-0.356521733,0.0,-0.003429167,1.3249,0.003417
26,-0.184246057,-0.115982962,0.001884083,1.26345,0.00344
27,0.11181305,0.0,-0.005403833,1.22822,0.003431
28,0.001870902,2.92900812,0.052663583,1.20461,0.003311
29,-0.272622502,1.882406025,0.063041083,1.16481,0.003339
30,-0.383481529,19.02752755,0.008425667,1.1823,0.003496
31,-0.366587785,0.0,-0.001232083,1.08927,0.003588
32,-0.141210293,0.0,-0.0062275,1.0255,0.003557
33,0.174215052,0.0,-0.001186667,1.15018,0.003467
34,-0.042816814,0.0,-0.006733667,1.30954,0.003439
35,-0.30057449,2.042559871,0.052763833,1.31127,0.003525
36,-0.425306314,0.455700687,0.0628935,1.25736,0.003558
37,-0.31846324,0.371696216,0.005908667,1.21609,0.003533
38,-0.057348369,0.0,-0.00045075,1.23437,0.003568
39,0.132092095,0.0,-0.003189417,1.34082,0.003544
40,-0.112832796,0.0,-0.001137167,1.43479,0.00343
41,-0.329188972,54.31964811,8.12e-05,1.32308,0.003446
42,-0.405119566,0.0,-0.000787667,1.06475,0.003626
43,0.548810663,50.0053876,0.001628917,1.09431,0.003706
44,0.179727647,-105.630047,0.00089825,1.19369,0.003669
45,0.10204212,0.0,-0.001090917,0.983768,0.003602
46,-0.151265724,0.0,-0.00065625,1.00912,0.003663
47,0.566790455,0.0,-0.005721083,1.08498,0.003732
48,0.734339482,-0.914392067,0.036855083,1.14445,0.003744
49,-0.028362126,-1.327747542,0.045155417,1.1282,0.00378
50,0.086203418,178.9056761,0.000678583,1.08624,0.00405
51,0.028046317,0.0,-0.007577167,1.22169,0.004445
52,-0.23803355,1.987530262,0.052991917,1.31001,0.004852
53,-0.372691144,1.744515883,0.075142833,1.26859,0.005426
54,-0.381340481,0.0,-0.002077333,1.13971,0.005881
55,-0.206032285,4.219277842,0.040867667,1.17299,0.006334
56,0.118367245,1.663691012,0.065163583,1.1906,0.006602
57,0.918272404,16.66168849,0.003919583,1.19372,0.006749
58,0.8584453,0.0,-0.002176417,1.24125,0.006702
