Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,0.839786224,0.0,-0.010353667,2.5541,0.002705
1,0.884340167,0.750431697,0.069504167,2.60789,0.002776
2,0.634975291,1.106300636,0.039222,2.60984,0.002819
3,0.452913236,18.42032234,0.002644833,2.53809,0.002645
4,0.442082983,0.0,-0.00206625,2.57163,0.002651
5,0.581405663,-95.6277167,0.000189833,2.52781,0.002662
6,0.893348575,-0.262535988,0.002446833,2.39694,0.00259
7,0.846210913,0.0,-0.00193325,2.4345,0.002461
8,0.603167589,0.0,-0.004226417,2.44655,0.002542
9,1.28914493,0.0,-0.003826833,2.42063,0.002607
10,1.510934054,2.91567449,0.021302583,2.55726,0.002625
11,1.731456085,0.0,-0.005982083,2.64368,0.002641
12,2.041153447,-1.686722312,0.029128667,2.68362,0.0026
13,1.881759278,-1.386313395,0.066054167,2.69587,0.002696
14,1.636100985,1.164568257,0.006225167,2.60406,0.002855
15,1.50994715,0.0,-0.002393333,2.52954,0.002796
16,1.54810376,0.0,-0.002652417,2.51637,0.002844
17,0.936134484,84.56590554,0.001321417,2.6397,0.00298
18,0.971435955,0.0,-0.000179667,2.6992,0.003032
19,-0.110985231,0.0,-0.006706917,2.65226,0.002984
20,0.293479474,0.469783979,0.05658075,2.64865,0.003046
21,0.423853753,-17.74001528,0.004696667,2.79125,0.003068
22,0.488667618,0.0,-0.020321333,2.7828,0.003142
23,-0.125059588,5.03444073,0.0387905,2.6287,0.003084
24,-0.160542996,27.26538248,0.003089333,2.49596,0.002943
25,-0.397061811,0.0,-0.001101667,2.51809,0.002999
26,-0.594895288,0.0,-0.000245167,2.58079,0.002905
27,-0.656041278,59.38591652,0.002068417,2.58823,0.002782
28,-0.562188949,0.0,-5.92e-06,2.72271,0.002786
29,-0.256358652,0.0,-0.000949083,2.88919,0.002763
30,-0.208240844,0.0,-0.000103083,2.72102,0.002825
31,-0.432474853,230.814421,0.00035,2.57505,0.002842
32,-1.511943002,0.0,-0.008176417,2.53282,0.002768
33,-1.771550611,0.303352885,0.05374175,2.5066,0.002802
34,-1.613326421,0.061891677,0.05888525,2.57229,0.002839
35,-1.12737373,0.330554538,0.050780667,2.61616,0.002749
36,-1.005124888,1.053124306,0.10248025,2.62724,0.002614
37,-1.507820412,21.10745447,0.004801833,2.52679,0.00261
38,-1.71609891,0.0,-0.000309833,2.55432,0.002691
39,-1.718495977,26.04172984,0.005551417,2.58917,0.002755
40,-1.541620978,0.0,-0.046635583,2.53785,0.002772
41,-1.25005059,4.074095305,0.038125083,2.45582,0.002765
42,-1.361809889,48.80774674,0.003330417,2.52437,0.002715
43,-0.763189025,0.0,-0.00590475,2.57926,0.002783
44,-0.66570539,2.324800556,0.04140025,2.58435,0.002806
45,-0.62599259,62.77498491,0.002800167,2.58454,0.002856
46,-0.390515698,0.0,-0.003106833,2.47319,0.002876
47,-0.151668957,59.1019436,0.003410833,2.46131,0.002959
48,-0.349241745,67.87595894,0.002911083,2.56653,0.002977
49,-1.467422071,0.0,-0.003728917,2.54121,0.003012
50,-1.753043309,0.0,-0.002318333,2.52766,0.002956
51,-1.72768846,0.0,-0.008942,2.51425,0.002933
52,-1.438967851,0.674075627,0.054625167,2.45412,0.002978
53,-1.248326901,0.459022639,0.065831583,2.55714,0.002983
54,-0.587072922,27.53592179,0.001930167,2.71615,0.003093
55,-0.596084779,0.0,-0.006624583,2.76659,0.00318
56,-0.62603219,0.734435134,0.051575417,2.63269,0.003066
57,-0.573968401,0.032204266,0.080184833,2.48741,0.003004
58,-0.268442632,7.042055654,0.007871333,2.50462,0.003043
59,-0.209010584,0.0,-0.021277167,2.62489,0.003177
60,-0.461195268,0.0,-0.005366833,2.58444,0.003243
61,-0.633167129,52.29382686,0.003803583,2.50396,0.003198
62,-0.6434306,0.0,-0.00515275,2.41578,0.00319
63,-0.521218209,6.133179189,0.049030667,2.50688,0.003195
64,-0.204129206,4.897488871,0.060867583,2.63464,0.003068
65,-1.107478114,8.087805573,0.0407895,2.57916,0.002995
66,-1.583717521,-0.4599068,0.03992675,2.48255,0.00299
67,-1.716489977,6.141068135,0.019831583,2.54446,0.003098
68,-1.728388276,1.453673322,0.057378,2.46992,0.003087
69,-1.570043574,2.924222867,0.038968,2.508,0.003076
70,-1.570989969,0.0,-0.004089833,2.55905,0.003137
71,-2.31756628,0.0,-0.0079775,2.47787,0.00318
72,-1.894370775,1.518075997,0.052427167,2.47927,0.00319
73,-1.785566994,3.189142523,0.061695083,2.53812,0.003154
74,-1.709407231,57.94531028,0.002565917,2.72658,0.003075
75,-1.479341307,0.0,-0.000903167,2.69313,0.003118
76,-1.222314529,0.0,-0.00882025,2.5809,0.003122
77,-1.446237388,3.063315411,0.059322333,2.58278,0.003064
78,-1.320886245,4.459653721,0.050063417,2.63662,0.00302
79,-0.793787485,0.0,-0.022218417,2.5517,0.002999
80,-0.608851544,0.0,-0.00127475,2.51897,0.003023
81,-1.232919668,1594.378225,0.00017275,2.55127,0.003113
82,-1.241258945,0.0,-0.00196475,2.59936,0.003002
83,-2.027316007,0.0,-0.00916275,2.77695,0.002998
84,-2.702862399,2.926460395,0.050982,2.72568,0.00303
85,-2.839077758,2.283976619,0.066275667,2.67716,0.002981
86,-1.827077413,119.7130939,0.001508,2.62152,0.003007
87,-0.610423338,14.27851019,0.014604417,2.57273,0.003012
88,-0.216710833,38.24908365,0.005550833,2.67027,0.002989
89,-0.423595917,0.0,-0.022114583,2.60692,0.00303
90,-0.285462078,6.588446453,0.053543083,2.43139,0.003003
91,0.322161543,5.848071396,0.064892833,2.43129,0.003011
92,0.592362565,1339.40927,0.000369833,2.60483,0.003029
93,1.52335371,0.0,-0.00633875,2.68886,0.00313
94,1.882558564,7.534092423,0.034817,2.59533,0.003042
95,2.291819542,8.234392053,0.042886083,2.47724,0.002941
96,1.800978979,345.238075,0.00112325,2.67395,0.002894
97,1.531073526,66.48926204,0.005569083,2.66884,0.002843
98,1.717521588,167.7496261,0.002651083,2.39649,0.002852
99,2.025303374,0.0,-0.007025333,2.55768,0.002851
100,1.900110971,0.0,-0.011835167,2.6789,0.002935
101,1.663672427,5.654584623,0.052291333,2.54866,0.00298
102,1.539724135,7.846412488,0.067484833,2.60438,0.002951
103,1.551875515,175.9261823,0.0020655,2.58235,0.002885
104,0.957586439,0.0,-0.0008875,2.47804,0.002915
105,0.985011727,172.9282755,0.003050917,2.51078,0.002988
106,-0.087529804,0.0,-0.004073,2.54202,0.002841
107,-0.541959516,0.0,-0.0038735,2.65531,0.002795
108,-0.659270342,310.3959851,0.001444,2.66673,0.002821
109,-0.613094487,790.8244038,0.00106125,2.60204,0.00287
110,-0.360036652,0.0,-0.00519125,2.50666,0.002852
111,-0.142464745,14.5805732,0.053675,2.56071,0.002773
112,-0.367336682,12.63904796,0.065565833,2.63067,0.002808
113,-0.591200651,201.5834194,0.002169667,2.6556,0.002806
114,-0.655450398,140.8740143,0.004043167,2.61663,0.0028
115,-0.56188567,0.0,-0.00349325,2.5739,0.002814
116,-0.276466447,9.009249589,0.031919667,2.64772,0.002913
117,-0.171769428,10.00348759,0.044501667,2.68828,0.002898
118,-0.42757334,310.4817066,0.001813167,2.68315,0.002882
119,0.241574156,0.0,-0.001382667,2.63621,0.002921
120,0.400033039,0.0,-3.28e-05,2.63778,0.002945
121,0.560285393,0.0,-0.002060083,2.57426,0.002961
122,0.870874469,0.0,-0.000631167,2.47387,0.002949
123,0.837004991,1790.898064,0.000434167,2.51602,0.003045
