Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,-0.873346378611963,0.0,-1.50656050000001,-0.047521,0.001975
1,-1.05187632789967,0.009606978859766,0.418098166666686,-0.001891,0.002116
2,-1.30220354265296,-0.342484266018025,0.548380833333335,-0.02455,0.002083
3,-1.42934439113367,0.129958847800362,0.447431749999992,-0.098721,0.00183
4,-1.29934758800276,-0.107246169024209,0.428384083333339,0.047064,0.001736
5,-1.02471832937439,0.266666693842429,0.227333000000003,0.181944,0.001851
6,-0.876292052108004,0.0,-0.012449666666664,0.286482,0.001849
7,-1.1204167873836,0.0,-0.215763250000003,0.265349,0.001896
8,-0.407509828182295,0.0,-0.0861115833333284,0.121681,0.00191
9,-0.261457374930015,2.263209405753,0.0491296666666597,-0.017861,0.00185
10,-0.169348369894902,-0.633875674529044,0.0059550833333368,0.05612,0.001752
11,0.126199984172971,0.0,-0.0010268333333272,0.071936,0.001903
12,0.186306345042518,-48.5586947330319,0.000539749999992,0.048404,0.001957
13,-0.0550155553031562,0.0,-0.0013373333333343,0.092418,0.001778
14,-0.226961883327751,-331.900922103048,0.0003481666666793,0.234147,0.001727
15,-0.280604866825234,-29.6500051634614,0.0006124166666599,0.209674,0.001878
16,-0.115851785906585,-127.937593264776,0.0004342499999931,0.177449,0.002014
17,0.25065887916345,-24.597532004353,0.0003864166666739,0.100781,0.001936
18,0.155532512327034,0.0,-0.0007696666666655,0.205936,0.002031
19,-0.09716883051473,-15.2346983129551,0.0014880000000066,0.370731,0.00207
20,-0.246676760152286,0.0,-0.0060299999999955,0.28569,0.001919
21,-0.255565679646154,-2.77973831708832,0.0485817499999991,0.056178,0.001948
22,-0.0518292928113342,-0.476388690020028,0.0817350000000007,0.130049,0.002062
23,0.265730782382816,0.0,-0.0450937499999971,0.038621,0.002118
24,-0.571951437356543,0.0,-0.0854599166666716,-0.237739,0.002052
25,-1.18943217306453,-0.0263434263636782,0.0464190833333286,-0.153677,0.001778
26,-1.37623768226474,-2.14888867686407,0.0743993333333286,-0.117684,0.001596
27,-1.37273501211517,0.0,-0.0463786666666657,-0.088408,0.001616
28,-1.15793645873018,0.0,-0.0659058333333344,-0.011229,0.001814
29,0.0300415429133517,0.0,-0.012670750000004,-0.010764,0.001822
30,0.063695535979619,-2.28717289449263,0.0519435000000001,0.07278,0.001631
31,-0.172592071748315,-1.86840865739542,0.0708343333333422,-0.010357,0.001388
32,-0.27541079897219,0.0,-0.0525531666666682,-0.131329,0.001199
33,-0.201665477017388,0.0,-0.0146526666666678,0.063809,0.001398
34,0.0896675026235295,-0.765724491995779,0.0590669166666705,0.226842,0.001583
35,0.236261291729253,-2.92440684862442,0.0132827499999995,0.112964,0.001549
36,0.0005613842349773,0.0,-0.0615080833333378,0.024037,0.001616
37,-0.2289638193196,0.0,-0.0154682500000038,0.078869,0.001685
38,-0.26888624886041,-0.997423622969835,0.0775933333333327,0.105007,0.001605
39,-0.153498967363592,-4.49189864813579,0.0097823333333361,0.161985,0.001585
40,0.168997446221085,0.0,-0.0172649999999959,0.225062,0.001635
41,0.210394594020309,-14.9827177801865,0.0003002499999963,0.322828,0.001722
42,-0.0092909397242225,0.0,-0.0006903333333359,0.21563,0.001725
43,-0.200379376539443,0.0,-0.0011307499999884,-0.073708,0.001542
44,-0.318152905130685,-51.4618155644402,0.0005000000000012,-0.102962,0.001486
45,-1.05918857544121,5.7746697545351,0.0002115833333284,0.007798,0.001588
46,-0.8828166752908,-261.155199044959,0.0001405833333312,-0.004015,0.001574
47,-0.975192449272366,-1335.94810467825,1.08333333332193e-05,0.088426,0.001524
