Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,2.317618139,-7.530033756,0.021208833,1.30508,0.005652
1,3.228456941,0.0,-0.002349667,1.34884,0.006009
2,3.758198703,0.0,-0.004334167,1.24902,0.006334
3,3.87431003,0.0,-0.0003315,1.17501,0.006591
4,3.593644408,0.0,-0.00075425,1.14107,0.006788
5,3.429309766,0.0,-0.009864,1.26509,0.006943
6,2.490387737,1.572806928,0.052302667,1.31049,0.006939
7,2.423039585,-0.257546491,0.066698333,1.1383,0.006867
8,2.737893381,-10.3850876,0.005508083,1.10904,0.006802
9,2.728486298,0.0,-0.00200075,1.10097,0.006572
10,2.476416043,8.444166828,0.007113,1.02425,0.006258
11,1.418544694,0.0,-0.01509075,1.04263,0.005965
12,1.218503972,-0.663089026,0.091774667,1.13436,0.005692
13,1.366347968,0.636331134,0.129726583,1.17421,0.005496
14,1.717912497,-36.14108622,0.010554167,1.16252,0.005254
15,1.613282924,0.0,-0.001955417,1.05724,0.004939
16,1.347253851,-143.2796577,0.000339583,1.0771,0.004706
17,1.200396757,0.0,-0.001856583,1.20777,0.004521
18,1.231537209,0.0,-0.004561833,1.13507,0.004304
19,1.420423072,-8.023343522,0.035691583,1.06294,0.004219
20,0.82661592,-4.268817706,0.043827,1.12899,0.004158
21,0.4692281,-5.930890033,0.003278583,1.08221,0.003932
22,0.233866717,0.0,-0.001045833,1.14512,0.003736
23,0.126443205,17.85787752,0.003489917,1.27523,0.003647
24,0.195349225,-7.486020099,0.002553833,1.32489,0.003567
25,0.430414262,0.0,-0.008737917,1.30122,0.003582
26,0.648269696,-3.027909867,0.050226667,1.22662,0.003652
27,0.996154142,2.035056748,0.062792583,1.24262,0.003523
28,0.35971687,-12.78580172,0.002203417,1.15409,0.003341
29,0.142087393,0.0,-0.00060575,0.976683,0.003436
30,0.22217208,-48.09183745,0.0013125,0.971736,0.003443
31,0.486635985,-70.87452482,0.00018175,1.00393,0.003301
32,0.604594633,-200.6217525,0.000320583,1.03886,0.003304
33,1.174950248,30.57625119,0.001283333,1.06002,0.003249
34,1.262867907,-1.358108213,0.052169833,1.1485,0.003229
35,1.199578689,-0.140819966,0.040716667,1.21301,0.003286
36,1.309412598,-2.816176328,0.081804167,1.24661,0.003217
37,1.632909727,-0.64382557,0.16652825,1.33199,0.003243
38,1.656085083,-1.519116331,0.020174583,1.29119,0.003218
39,1.407684143,0.0,-0.068822,1.23866,0.003158
40,1.221804218,-1.772837656,0.046901083,1.21653,0.003157
41,1.215182363,-0.554122389,0.06713375,1.14112,0.003274
42,1.351650548,-7.007494186,0.003825167,1.2018,0.003202
43,1.698527058,0.0,-0.00253925,1.25045,0.003263
44,1.614761508,0.0,-0.006469333,1.15234,0.003305
45,1.360446883,-0.178540699,0.03515025,1.27595,0.003362
46,1.223818515,-2.191202159,0.048424917,1.33732,0.0034
47,1.231533382,0.0,-0.010545667,1.15413,0.003408
48,1.410974978,0.139031095,0.105275167,1.18675,0.003388
49,1.048239728,-1.658972959,0.077481167,1.26506,0.003446
50,0.527501938,0.0,-0.062697333,1.34028,0.003532
51,0.249909281,-3.083026305,0.041398083,1.27975,0.003604
52,0.142304569,0.640799582,0.065547167,1.25606,0.003602
53,0.179375459,0.0,-0.000565167,1.3713,0.003603
54,0.406971073,-1.382208,0.03302575,1.46164,0.003666
55,0.647080756,3.561223388,0.042671333,1.49685,0.003635
56,0.448384423,-7.40318759,0.009559333,1.50278,0.003678
57,0.219819879,-195.0543465,0.000962667,1.40085,0.003665
58,0.137200179,0.0,-0.016392583,1.45122,0.003607
59,0.193068021,2.426335423,0.04882025,1.49371,0.003629
60,0.459552969,7.442028931,0.067942333,1.55492,0.003885
61,0.63196409,178.8202944,0.004725667,1.58211,0.003993
62,0.403466134,0.0,-0.005011417,1.51455,0.003988
63,0.167926535,0.0,-0.005587083,1.49817,0.004026
64,0.127726139,69.41038055,0.052014333,1.58375,0.004106
65,0.247225613,70.36755392,0.061990833,1.72872,0.004154
66,-0.341989545,3386.471243,0.001940167,1.83119,0.00422
67,-0.511125169,0.0,-0.001858083,1.7498,0.004262
68,-0.748611249,0.0,-0.0018625,1.8314,0.004472
69,-0.928315889,151.3578372,0.025939167,2.01151,0.004611
70,-0.936515575,34.77151738,0.033239167,2.13231,0.004828
71,-0.790802388,3.039698582,0.061963333,2.3153,0.005235
72,0.359450788,-0.88467406,0.064631583,2.78134,0.00602
73,1.242563205,0.0,-0.000203,3.42211,0.007749
74,3.655652355,-10.36163725,0.045707333,4.09849,0.011404
75,11.43033694,-1.534144272,0.096374833,4.57267,0.01715
76,22.69631453,-2.83986698,0.038943917,4.92435,0.025485
77,34.58472172,4.56189194,0.050964333,5.37334,0.035054
78,45.23117151,78.11939996,0.06190575,5.74445,0.045146
