Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,0.512831142,0.0,-0.5638865,1.13476,0.002862
1,0.151229731,-2.300617092,0.038480333,1.11758,0.002821
2,1.014213133,-0.244340543,0.054267167,1.24916,0.002763
3,0.898706746,-3.344291069,0.049812583,1.27904,0.002772
4,0.652346323,-1.583789201,0.0670495,1.23305,0.002765
5,-0.341475678,151.8038098,0.000805583,1.06626,0.002833
6,-0.454002634,0.0,-0.005012083,0.955162,0.002989
7,-0.172749286,0.0,-0.00182675,0.95147,0.002952
8,0.031177135,0.0,-0.001217333,0.993273,0.002928
9,-0.219087403,0.0,-0.003257167,1.20031,0.002858
10,-0.414217455,5.955770642,0.037644833,1.30744,0.002929
11,-0.476696935,4.447756015,0.05298125,1.11183,0.003048
12,-0.404497073,138.8304222,0.001391167,1.12498,0.003096
13,-0.121231246,0.0,-0.018084917,1.25552,0.003097
14,-0.016835885,2.901447501,0.053174917,1.3083,0.003002
15,-0.272227813,0.943613946,0.066221417,1.23341,0.002925
16,-0.44671593,-42.00452219,0.00489075,1.21688,0.002926
17,-0.512687652,0.0,-0.0080235,1.27894,0.002901
18,-0.367888764,1.786186683,0.05388,1.13429,0.002908
19,-0.044121638,-0.010052286,0.064882917,1.07,0.002967
20,-0.0884186,0.0,-0.006058167,1.24097,0.002869
21,-1.205971581,-0.073884364,0.053515083,1.25008,0.002778
22,-0.733204331,-2.771659525,0.060267917,1.16313,0.002713
23,-0.488753687,2.795301582,0.038125833,1.13944,0.002784
24,-0.34582418,0.111604024,0.043141083,1.13825,0.002994
25,0.000318,0.0,-0.005650833,1.23282,0.003012
26,-0.13584453,-0.837773696,0.050677083,1.25645,0.00298
27,-0.339652083,0.09274835,0.061104083,1.22189,0.00293
28,-0.495113224,-2.69087237,0.002424667,1.19173,0.002924
29,-0.687289026,0.0,-0.009425667,1.16568,0.003111
30,-1.196406459,-0.88684542,0.055117833,1.29163,0.003208
31,-1.050322648,-0.111987491,0.06181,1.39902,0.003405
32,-1.160179437,5.775112173,0.035523083,1.34776,0.003969
33,-0.564080518,3.140083636,0.0420385,1.21632,0.004648
34,0.408827607,140.6555155,0.00122525,1.20025,0.005426
35,1.497296877,-0.201931934,0.053674167,1.17546,0.006136
36,1.945025711,3.672980334,0.0593325,1.18765,0.006553
37,3.089975751,0.0,-0.003578083,1.21214,0.006969
38,3.010804293,-0.642930266,0.053138417,1.27832,0.007268
39,2.788941607,-3.174436561,0.058071417,1.48309,0.007239
40,2.746583512,3.849908301,0.040447917,1.50303,0.007256
41,2.784972935,0.714101928,0.04356275,1.31893,0.007266
42,3.127880533,0.0,-0.0099925,1.35944,0.007121
43,2.309331324,-1.834593332,0.049573667,1.48587,0.006928
44,1.252533462,-2.173119087,0.067157333,1.53012,0.006628
45,0.661869713,1.540204829,0.0573625,1.48012,0.006306
46,0.589333803,-1.84337969,0.052206583,1.34046,0.006145
47,0.719292302,0.0,-0.00113075,1.36194,0.006331
48,1.924764491,0.0,-0.006023083,1.69143,0.006621
49,2.12834284,5.3093181,0.03597225,1.7708,0.006886
50,1.882054974,0.965600023,0.044023333,1.65849,0.007309
51,2.372050918,18.64884761,0.004148,1.68852,0.007716
52,2.739886828,0.0,-0.0099915,1.63671,0.007966
53,2.908183365,-2.146557176,0.052094083,1.74948,0.00811
54,3.281025065,3.110978687,0.063724,1.91579,0.008334
55,4.010357575,0.0,-0.006378667,1.92677,0.008592
56,3.987815065,5.502250078,0.0512885,2.15807,0.00887
57,3.870936631,-1.614425974,0.05903,2.51892,0.009127
58,3.835222983,6.488590298,0.037324333,2.92901,0.009427
59,3.968775655,1.532677653,0.044386833,3.62393,0.010213
