Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,-0.002335018,0.0,-0.33129925,0.978251,0.005438
1,-0.402091726,0.0,-0.269985083,1.03634,0.005465
2,-0.407243327,0.0,-0.083849417,1.15167,0.00559
3,-0.207312926,0.0,-0.0529415,1.06899,0.005572
4,0.120007963,0.0,-0.058970417,1.00757,0.005497
5,-0.069117586,0.0,-0.038432917,0.990398,0.005479
6,-0.328102594,0.0,-0.042148667,0.96355,0.005345
7,-0.476734566,0.0,-0.001266667,1.09737,0.00521
8,-0.424259447,112.1543196,0.00043625,1.04264,0.005208
9,0.368954167,0.0,-0.002022667,0.902371,0.005222
10,1.158865208,-8.447597044,0.001094917,0.944906,0.005187
11,1.010488891,0.0,-0.00071575,1.12639,0.005174
12,0.755252107,0.0,-0.000938417,1.18065,0.005226
13,0.69915657,17.74963446,0.00861425,0.97479,0.005231
14,0.778149166,226.8160272,0.001360167,1.07071,0.005228
15,1.044755632,-219.8163715,0.001385,1.07085,0.005131
16,1.804759727,0.0,-0.050273333,1.0628,0.005121
17,2.006959131,0.0,-0.06377275,1.2496,0.005234
18,1.860167473,0.0,-0.003655333,1.13972,0.005111
19,1.817867465,58.90167616,0.001661083,0.993336,0.004981
20,1.054076014,0.0,-0.00082625,1.1761,0.004972
21,1.127227985,0.0,-0.002954,1.10417,0.005067
22,1.160993745,0.0,-0.00115075,0.939204,0.00501
23,0.887456326,18.47475983,0.006899667,0.975936,0.004801
24,0.697938053,158.0969499,0.00102925,1.05323,0.004751
25,1.213922175,0.0,-0.0025835,1.09933,0.004778
26,0.982549322,39.61435441,0.001227833,0.900753,0.004799
27,0.617579574,0.0,-0.004814333,0.86666,0.004796
28,0.041369125,0.0,-0.007343917,1.01229,0.004766
29,-0.246160959,2.484933184,0.054735667,1.09868,0.004651
30,-0.395101446,2.792467776,0.062262167,1.06607,0.00457
31,-0.42208833,47.60232198,0.004332,1.04812,0.004635
32,-0.238761815,0.0,3.32e-05,1.18859,0.004648
33,0.071806506,0.0,-0.003498,1.15823,0.004617
34,-0.093515487,0.0,-0.0035255,1.07365,0.004654
35,-0.325995997,1.526975961,0.000710083,1.02982,0.004708
36,-0.441738282,28.02326646,0.006262333,1.04131,0.004771
37,-0.417092778,83.08145553,0.00342,1.13914,0.004906
38,-0.151452636,0.0,-0.005817833,1.16655,0.00495
39,0.945843902,0.0,-0.004153,1.14817,0.004809
40,0.3194828,80.39189297,0.0017895,1.05398,0.004686
41,-0.296733384,60.58213902,0.003006,0.964867,0.004721
42,-0.436682021,0.0,-0.000276083,0.964616,0.004743
43,-0.367274052,0.0,-0.00271825,0.84463,0.004664
44,-0.086011283,0.0,-0.002773667,0.890238,0.004787
45,0.076080055,31.50140173,0.000701833,0.972445,0.004874
46,-0.169440936,10.62766227,0.007005167,0.979433,0.004778
47,-0.38749638,0.0,-0.000572833,0.982215,0.004738
48,-0.416635245,0.0,-0.004035583,0.952699,0.004817
49,-0.306777135,0.0,-0.00055925,0.960055,0.00494
50,-0.015573913,0.0,-0.00085475,0.942059,0.005015
51,0.017699123,26.45261816,0.009767917,1.12782,0.004968
52,-0.228640472,0.0,-0.046687083,1.16492,0.005015
53,-0.411713597,0.0,-0.062039333,1.06928,0.005325
54,-0.399912382,0.0,-0.005281333,1.00182,0.005506
55,-0.257402912,0.0,-0.000794167,1.03287,0.005652
56,0.064373566,0.0,-0.002202167,1.06544,0.00586
57,-0.008368793,69.30193983,0.002098083,1.03893,0.00604
58,-0.280369449,0.0,-0.002133667,1.09596,0.006083
59,0.339726943,10.26939126,0.004789833,1.08665,0.006169
60,0.651050086,0.0,-0.0025935,1.04228,0.006234
61,0.865533358,6.009863105,0.0400195,1.07604,0.006296
62,2.019432836,4.893087666,0.060948583,1.06681,0.006286
63,2.196334465,-1.458960583,0.009225083,0.963607,0.006286
64,1.947133962,0.0,-0.000824583,0.8979,0.0062
65,1.809566914,0.0,-0.00067425,0.914441,0.006078
66,1.84953044,0.0,-3.31e-05,1.00653,0.005871
67,2.089881716,0.0,-0.005275333,1.06448,0.005759
68,2.387499256,3.681004416,0.033616917,1.23797,0.005655
69,2.159946604,0.035010948,0.050378917,1.21811,0.005511
70,1.2201289,0.0,-0.03697175,1.07869,0.005426
71,0.73037086,0.0,-0.015825333,1.06383,0.00537
72,0.745934162,1.794361157,0.039809,1.09186,0.005334
73,1.021329788,16.68475497,0.00693875,1.10584,0.005272
74,1.188391872,32.47473688,0.004582,1.20324,0.005265
75,0.97773042,0.0,-0.035661083,1.28493,0.005198
76,-0.056234497,0.0,-0.041225167,1.27748,0.005293
77,0.490555604,0.0,-0.000953333,1.22393,0.005491
78,0.021775645,0.0,-0.0045575,1.21859,0.005478
79,0.926158619,6.276171849,0.0386675,1.16609,0.005426
80,1.15759625,4.155597087,0.00757025,1.03822,0.00539
81,0.911789458,0.0,-0.039477667,1.13472,0.005366
82,0.70718681,57.07275833,0.003813333,1.19623,0.005427
83,0.690321684,0.0,-0.00354875,1.28965,0.005441
84,0.850762373,7.872122014,0.024246833,1.28345,0.005445
85,1.157402559,4.888410697,0.041685167,1.17667,0.005386
86,1.111329186,65.56042674,0.00425875,1.1691,0.005462
87,0.862393507,399.3409775,0.000363083,1.25091,0.005488
88,1.273476852,546.0528355,0.0005135,1.29845,0.005504
89,1.778969301,0.0,-0.0089785,1.14948,0.005495
90,2.021980161,3.869065906,0.062954,1.12341,0.005577
91,2.357256481,7.609602733,0.014555833,1.19117,0.005615
92,2.201790039,0.0,-0.061614417,1.22219,0.005649
93,1.958899186,0.0,-0.007607167,1.12492,0.005631
94,1.835500671,0.0,-0.000614667,1.11838,0.005677
95,1.210947771,0.0,-0.000268583,1.28352,0.005681
96,0.993224088,0.0,-0.00948975,1.37418,0.00557
97,1.21988074,3.142147748,0.060569833,1.30785,0.005502
98,1.037752525,18.68407354,0.0145825,1.27899,0.005556
99,0.783206572,0.0,-0.061597583,1.24405,0.005661
100,0.666733031,0.0,-0.012713833,1.2333,0.005682
101,0.743307706,2.322635824,0.061785167,1.36509,0.005661
102,1.04160062,10.66154248,0.01241625,1.38096,0.005574
103,0.384626533,0.0,-0.061807167,1.455,0.005569
104,-0.145743403,0.0,-0.007802,1.58889,0.005626
105,0.513530373,28.02944921,0.007706417,1.61601,0.005671
106,0.678936432,102.6793413,0.00352125,1.6034,0.005659
107,0.76560166,0.0,-0.014034417,1.37897,0.005676
108,1.089403568,1.930246499,0.057745333,1.30091,0.005754
109,1.143385175,43.28075921,0.006337,1.33997,0.005811
110,0.917188648,0.0,-0.008207917,1.53127,0.005749
111,0.72002374,5.585236485,0.061576833,1.56751,0.005708
112,0.673801575,36.51933712,0.005914,1.3719,0.005839
113,0.837080138,0.0,-0.001062167,1.43501,0.005949
114,1.287745416,0.0,2.73e-05,1.49987,0.006025
115,2.050290448,67.93997914,0.00302825,1.54626,0.005989
116,1.963217513,0.0,-0.00079225,1.49812,0.005881
117,1.815305335,0.0,-0.002793667,1.32229,0.005922
118,1.813422355,0.0,2.15e-05,1.34936,0.005902
119,1.993170108,0.0,-0.002131417,1.47563,0.005889
120,2.316038849,154.6330045,0.001781083,1.59993,0.005881
