Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,-2.269385267,-0.251759045,0.135813667,1.10388,0.001629
1,-2.235743931,0.0,-0.134391667,1.16095,0.001617
2,-2.425549753,0.0,-0.085375,1.25401,0.001574
3,-2.59239581,0.0,-0.005382333,1.12916,0.001599
4,-2.699909796,34.34044229,0.000718833,1.09654,0.001734
5,-2.537432314,757.8681146,0.000165167,1.06486,0.001794
6,-2.181166945,63.3315802,0.002163083,0.993756,0.001636
7,-2.277972797,0.0,-0.005371083,1.05714,0.001641
8,-2.520961532,1.090447554,0.033566583,1.0659,0.001731
9,-1.957742489,2.50548666,0.043369083,1.10211,0.001654
10,-1.650913913,6.540070299,0.01277225,1.14147,0.001498
11,-1.395472234,0.0,-0.0002485,1.24244,0.001366
12,-1.067822792,0.0,-0.008779167,1.19842,0.001469
13,-1.176793,178.7411523,0.000703583,1.19367,0.001571
14,-1.426875358,0.0,-0.010559333,1.22015,0.00151
15,-1.609375431,-1.402799874,0.042305417,1.17194,0.001446
16,-1.570764189,-2.564782864,0.1082475,1.10404,0.001479
17,-1.33518543,-1.672347515,0.158752917,1.09485,0.001585
18,-1.940554212,0.421168563,0.112381333,1.14792,0.001687
19,-2.301951543,16.55387556,0.005720583,1.20928,0.001798
20,-3.324557551,-14.51929113,0.00502475,1.12029,0.001945
21,-3.741193868,0.0,-0.05976125,1.18985,0.00209
22,-3.167789386,0.0,-0.014704417,1.21365,0.002262
23,-2.425126773,-3.812335087,0.060641167,1.29904,0.002409
24,-2.14161372,0.0,-0.002996833,1.24943,0.002463
25,-2.355629528,3.426526175,0.052849833,1.12771,0.002365
26,-2.547264447,1.585738895,0.066772583,1.17717,0.002249
27,-2.659206608,23.68739978,0.0023705,1.31873,0.002244
28,-2.564249643,0.0,-0.001594833,1.27934,0.002256
29,-2.26809339,0.0,-0.005784917,1.27059,0.002188
30,-2.215018914,-6.074949973,0.031751417,1.21957,0.002108
31,-2.452669941,-4.375073477,0.04262675,1.12757,0.00195
32,-2.611514036,229.3145097,0.0003855,1.15512,0.00183
33,-2.691406823,6.814915364,0.025646833,1.23344,0.001682
34,-2.025629641,1.068497373,0.110266917,1.31225,0.001544
35,-1.203456478,0.7421379,0.083708083,1.27276,0.001461
36,-2.012824354,1.105516977,0.040437833,1.27138,0.001512
37,-2.494824908,1.918743486,0.042435167,1.2248,0.001559
38,-2.641840705,-31.81100094,0.003210667,1.18034,0.001571
39,-2.661770386,0.0,-0.008871583,1.26452,0.001571
40,-1.860095526,0.037536055,0.05213875,1.27623,0.001508
41,-1.148155324,-0.380754865,0.06478725,1.17701,0.001457
42,-1.238459304,0.0,-0.006883,1.10539,0.001502
43,-1.40526719,0.166455895,0.056712,1.25061,0.001568
44,-1.567252235,0.535103281,0.072077333,1.25282,0.001612
45,-1.523249316,0.0,-0.008396,1.15905,0.00158
46,-1.305338502,3.012854789,0.040830333,1.13397,0.001583
47,-1.063840162,2.642270992,0.09598425,1.2557,0.001562
48,-1.224346318,-0.113023158,0.040437333,1.28643,0.001498
49,-1.487490034,3.141566601,0.054135,1.14941,0.001531
50,-1.596148185,-1.726371247,0.063986167,1.14869,0.001662
51,-1.520786708,0.0,-0.003829583,1.20125,0.001595
52,-1.289023761,-1.29144296,0.049228667,1.12387,0.001528
53,-1.063146835,1.575641005,0.068109583,1.12383,0.001433
54,-1.29442458,-16.71171576,0.007488167,1.15943,0.001426
55,-1.512420224,0.0,-0.017587,1.1429,0.00151
56,-1.60066123,0.252261312,0.0822025,1.19102,0.001578
57,-1.502138428,2.024538348,0.109033833,1.24195,0.001575
58,-1.171194723,-210.390752,0.000436,1.35238,0.001479
59,-1.082132563,-3.627705119,0.04806575,1.3034,0.001603
60,-1.304951402,1.047706928,0.064409333,1.27654,0.001683
61,-0.679470619,-6.83855362,0.003684667,1.23838,0.00154
62,-0.4968431,0.0,-0.00158,1.19264,0.001442
63,-0.364406039,123.5798517,0.00238525,1.22536,0.001518
64,-0.034968374,0.0,-0.002353167,1.29069,0.001676
65,-0.061066363,23.33107673,0.030343417,1.33638,0.001821
66,-0.273233136,18.84592787,0.039249583,1.31273,0.001744
67,-0.453339519,8.162437269,0.057099417,1.30867,0.001545
68,-0.467173665,15.55404121,0.057488583,1.40374,0.001557
69,-0.318441669,0.0,-0.003561833,1.55007,0.001705
70,-0.806189043,25.02852236,0.05150125,1.49167,0.001687
71,-1.138735684,21.92687399,0.0646625,1.40714,0.001593
72,-1.409115296,0.0,-0.003675,1.42849,0.001699
73,-1.562192628,159.9722483,0.014882833,1.63289,0.001793
74,-1.517584759,20.23589395,0.14075125,1.82247,0.001693
75,-1.341507631,17.33212344,0.167509917,1.80396,0.001614
76,-1.052799811,55.78445861,0.069675,1.93746,0.001655
