Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (kg/kg),CO2Y (kg/kg)
0,1.15696690745141,0.0,-0.289986000000032,0.0,0.0
2,0.798462769349735,-1.04433487966134,0.0592166666666714,0.0004360721453657,0.0146598541944191
4,1.00168709754522,-0.794566758411702,0.0535978333333323,0.0004906534417853,0.0159206251497378
6,3.24444704025443,0.0,-0.0307417499999983,0.0,0.0
8,4.09231353732668,0.0,-0.026622291666668,0.0,0.0
10,2.58345079704068,-1.30470507631625,0.0277406249999999,0.0009374859923615,0.0452009164578231
12,2.23570923836843,-0.67550034775004,0.025769333333334,0.0010124349448772,0.0525943914649447
14,0.950598977432043,0.0,-0.0245812499999995,0.0,0.0
16,0.821251215411204,-9.6922569006106,0.0028749166666687,0.008572094710535,0.302160605301453
18,0.876116611696199,0.0,-0.0020974166666694,0.0,0.0
20,-0.0426846989694151,0.0,-0.0026153333333359,0.0,0.0
22,0.216800113136773,-0.61540773097315,0.0233889166666709,0.0011041878927085,0.0386280483598473
24,-0.542296148978652,0.0,-0.0029768333333327,0.0,0.0
26,0.232171008124518,1012.14592781588,8.95833333084776e-06,2.91645588620535,59.4350949547272
28,2.00250809353193,0.0,-1.16250000032162e-05,0.0,0.0
30,0.658617637182662,-4.66057811789221,0.0025432083333315,0.0108669346086648,0.228604912254924
32,-0.480324711098522,0.0,-0.0200381250000016,0.0,0.0
34,-0.232667011438018,0.0,-0.0029101666666644,0.0,0.0
36,0.244573206271144,0.0,-0.0011492500000004,0.0,0.0
38,-0.616995980488142,5.79042661299965,0.0036141249999997,0.0070433046040898,0.150544506127829
40,-0.410859190431588,0.0,-0.0020907083333311,0.0,0.0
42,-0.723716271318186,0.0,-0.0288354999999954,0.0,0.0
44,0.284296423289525,0.0,-0.0014725833333321,0.0,0.0
46,0.686224148142802,-103.688855908969,0.0006458333333352,0.0406120348994159,0.874048224746964
48,1.22119690117993,0.0,-0.0042036666666665,0.0,0.0
50,0.683911765861641,0.508902453413746,0.0330803333333301,0.0008041469707545,0.0035384929046539
52,-0.547764569936916,200.292118990703,5.45000000027329e-05,-3.03292761919293,2.24656997650841
54,-0.485178301173153,0.0,-0.0329527916666675,0.0,0.0
56,-0.644271187102029,-3.60379332013667,0.0040918749999967,-0.0554570806573996,0.0274014214173698
58,-0.488452090643174,0.0,-5.2666666667515e-05,0.0,0.0
60,-0.937507533607155,0.183813452701132,0.003430416666666,-0.0667378813291423,0.033314709189379
62,-0.469601427522165,0.0,-0.0281535833333321,0.0,0.0
64,-0.0321498077169924,-108.182287993469,6.37916666660724e-05,-3.57911157456935,1.57430457000677
66,-0.617568241139854,-1.3829816563806,0.0281422499999978,-0.008060390030505,0.0039406478323353
68,-0.574388732931693,0.0,-0.0035217916666627,0.0,0.0
70,-0.444133400132927,0.0,-5.92083333330606e-05,0.0,0.0
72,0.106164746177639,-470.579809232399,0.0001358333333302,-1.68400192444264,0.860506397928706
74,-0.164829023477078,-31095.1787788446,2.29166666739407e-06,-98.0570855273457,35.2508243412591
76,-0.283909608013339,0.0,-0.0001540833333333,0.0,0.0
78,-0.752490466570555,-525.575192502205,6.07500000017562e-05,-3.7331398349308,1.39728644100244
80,1.02014977461026,0.0,-2.50000001145168e-07,0.0,0.0
82,-0.0729167107332322,-3852.48229401277,2.0041666669357e-05,-11.1798567958424,4.93549997828013
84,-0.415085012742848,-688.584046787663,8.58333333339327e-05,-0.220285777429681,1.25878666912344
86,-0.536165496031926,-697.310519082176,5.3791666666451e-05,0.466006954139071,2.16390415631708
88,-0.379315329147469,0.0,-6.1958333338552e-05,0.0,0.0
90,-0.540041866660695,0.0,-0.0001728749999987,0.0,0.0
92,-0.0131970880716045,0.0,-7.99583333333705e-05,0.0,0.0
94,-0.435957343676349,-1060.94609205586,4.55833333295648e-05,0.545619574252185,2.32766024859535
96,-0.194366387946719,-281.187922821314,0.0001540833333327,0.166895339731802,0.619740966083461
98,-0.483112632378654,0.0,-8.62500000131661e-06,0.0,0.0
100,-0.575154589719474,0.0,-0.0001422083333301,0.0,0.0
102,-0.362626376236042,0.0,-0.0001103750000014,0.0,0.0
104,-0.544758374377913,0.0,-1.62916666669825e-05,0.0,0.0
106,-0.443917359488822,-809.407708455212,4.22500000034631e-05,0.612542284620028,-8.17704015434254
108,-0.34729162163109,-313.916899045802,9.16249999978192e-05,0.274737491555895,-3.67306998510916
110,-0.334620138046429,-305.159515256947,0.000127041666665,0.202284660898439,-2.73502530859227
112,-0.729016403741047,0.0,-6.30833333315669e-05,0.0,0.0
114,-0.0152693363600618,0.0,-0.0001172500000006,0.0,0.0
116,-0.43245126773929,-1983.00554539794,1.99166666684884e-05,1.28777783090483,4.46129413573241
118,-0.892693366612961,0.0,-2.52916666637996e-05,0.0,0.0
120,-0.558276030060298,0.0,-7.6791666665225e-05,0.0,0.0
122,-0.450982516023536,-1066.29663455449,6.70416666667488e-05,0.369958564058566,-5.08599583126592
124,-0.769659473835662,-493.80944407382,8.61666666658323e-05,0.299395491462951,-4.28290605346892
126,-0.785286166508599,0.0,-0.004134541666664,0.0,0.0
128,-0.731606465440659,-1.95362490473739,0.0289243750000008,0.0009143487051745,0.0033983217525085
130,-0.72764760455143,-1.74269159914513,0.0288614999999973,0.0008772017712555,0.0030571746605258
132,-0.684247176867332,0.0,-0.0041275416666681,0.0,0.0
134,-0.192461247840814,-557.358230575436,9.1416666666196e-05,0.284010791405436,0.998999476037466
136,-0.581137987148875,0.0,-4.16249999991199e-05,0.0,0.0
138,-0.210276214608076,0.0,-3.3874999995002e-05,0.0,0.0
140,-0.671729489710293,-2098.20596261318,3.15416666610465e-05,-5.59329364732988,2.89299130086887
142,-0.211476707842904,0.0,-2.70833333478511e-06,0.0,0.0
144,-0.706226299410407,0.0,-7.12083333323695e-05,0.0,0.0
146,-0.0644243873923922,0.0,-4.74583333372654e-05,0.0,0.0
148,-0.358325773962556,-336.456031764959,3.57916666674877e-05,-6.32621936471407,-9.31452295199116
150,-0.647168508616146,-5.4345409079097,0.0034819166666704,0.0073894343816026,-0.100458767386859
152,-1.72643084249068,0.0,-0.0234039583333345,0.0,0.0
154,-0.806117312632264,0.0,-0.0289745833333352,0.0,0.0
156,-1.5667011071334,0.0,-0.0014597499999956,0.0,0.0
158,-0.607501148197551,-26.9228878378323,0.0007191666666646,0.0347080286778617,-0.472005412849513
160,-1.65275713989143,-572.638866208907,6.11249999960724e-05,0.417691598865265,-5.78271820901711
162,-0.609463950926758,0.0,-9.74999999966049e-05,0.0,0.0
164,-0.399211449989278,-1910.36207870668,2.95416666649118e-05,0.876432844338661,-11.9218778192481
166,-0.388238302023393,0.0,-2.33333333513978e-06,0.0,0.0
168,-0.539517146450839,0.0,-8.17499999978821e-05,0.0,0.0
170,-0.503466530679988,-55.1452259917136,0.0001087083333318,0.23480402425458,-3.22377422033904
172,0.247619177102296,0.0,-0.0034763333333346,0.0,0.0
174,-0.271778424557663,-0.578141083139361,0.0241189583333377,0.0011249504701853,-0.0160867914634523
176,-0.408998534731042,-2.68889968806007,0.0235175000000017,0.0011276127289987,-0.0174338090711142
178,-0.350593260495565,-17.5988129172483,0.001281208333328,0.0211420996324226,-0.284879596586671
180,0.0608363725869948,1.02727515024622,0.0081031249999975,0.0031414323132094,-0.0479515642803649
182,-0.6537567326762,0.0,-0.0282204166666666,0.0,0.0
184,-0.657269015029944,6.5277182430661,3.20833333346352e-05,0.820067657144179,-11.5046576025963
186,-0.529619561253464,-0.606294104316791,0.0276349166666693,0.0009480567163663,-0.0146423318932045
188,-0.344293033646399,0.0,-0.0034013333333303,0.0,0.0
190,-0.43749057475782,0.0,-9.62916666680987e-05,0.0,0.0
192,-0.396596924357675,-43.4409372683032,9.18333333353634e-05,0.282827063600594,-4.00097998336057
194,-0.101899224067428,0.0,-2.09166666695163e-05,0.0,0.0
196,-0.511419412422667,-786.908906995081,1.17083333310101e-05,2.23670893085618,-30.1497043344381
198,-0.546214926897298,-405.611454138355,5.70000000041186e-05,0.461990143509574,-6.22584735653311
200,-0.784589231119418,0.0,-5.37916666676352e-05,0.0,0.0
202,-0.329551206644815,-521.921764598309,3.91250000006949e-05,0.645564245573025,-8.66362223183995
204,-0.520813247574896,0.0,-7.16666666669141e-05,0.0,0.0
206,0.620612999530463,0.0,-1.25416666652001e-05,0.0,0.0
208,-0.644249931184193,0.0,-1.5541666663547e-05,0.0,0.0
210,-0.565510809655734,0.0,-5.36250000019815e-05,0.0,0.0
212,-0.939322359896803,822.366276145222,2.61666666639589e-05,1.01768641844085,-14.2391933580052
214,-1.02165393200522,508.667830056577,5.10833333334422e-05,0.5059882914577,-7.05296378761936
216,-0.769227432416472,0.0,-7.12499999977467e-05,0.0,0.0
218,-0.0660174383804578,0.0,-9.97500000015824e-05,0.0,0.0
220,-0.11071439188363,1.69937928428919,0.0007372916666685,-0.308932266795657,-0.473479792865039
222,-0.254658067247643,0.0,-0.0055846249999997,0.0,0.0
224,-0.368844776741276,30.9985568286294,0.0007123333333307,-0.326404995570283,-0.514999780827151
226,-0.564766107991841,0.0,-0.0001106666666614,0.0,0.0
228,-0.225475361769438,0.0,-0.0007399583333344,0.0,0.0
230,0.0509146343259434,4.05476067489119,0.005603666666668,-0.042127402284446,-0.0631615526199407
232,-0.0662994601285058,0.0,-0.0005890833333316,0.0,0.0
