Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (kg/kg),CO2Y (kg/kg)
0,1.57988783847266,4.36321135221034,0.0538445000000038,0.0008088393022567,-0.0088632093494085
2,2.79331116543723,0.0,-0.0200211666666637,0.0,0.0
4,2.80939109440535,2.64717177915582,0.0269886666666655,-0.0004088290653082,-0.0005496278869455
6,2.51641510918035,-0.193258025332071,0.029269249999999,-0.0014105186596771,-0.0017489480511512
8,3.02865801025562,0.0,-0.0215071666666663,0.0,0.0
10,2.924237640655,0.0,-0.0265894166666669,0.0,0.0
12,3.50039078568733,0.0,-0.0106540833333337,0.0,0.0
14,3.78366052503179,24.7288390683594,0.023557875000001,0.0047967952448016,-0.0043862088623911
16,3.66709201690166,3.25682789937064,0.0234860833333338,0.0024665298382819,0.0122051687663032
18,2.59387412195142,-19.7855684644445,0.0058562083333318,0.0024126333919222,-0.053547649813498
20,2.89245720593019,0.0,-0.0222884583333354,0.0,0.0
22,2.65798967127105,0.0,-0.0281436250000005,0.0,0.0
24,2.57740875327198,-27.8411442012473,0.004237583333334,-0.0143409510204605,-0.0302581936914699
26,2.92470584433601,0.0,-0.0029852916666666,0.0,0.0
28,2.69852793303927,-7.51127285569254,0.0207449999999986,0.0014224356583178,-0.0122151241147769
30,1.66485908561241,-10.5596638589549,0.0221533333333358,0.0037482587039301,-0.0004406989227424
32,2.09297571871659,-0.685218129066242,0.0346086249999991,0.0003016147288099,-0.0183917721433267
34,2.43597773601806,6.68129116435462,0.028165041666664,-0.0012401516938182,0.0067789001065469
36,2.36971954513056,22.9132118682516,0.0253528750000021,-0.0006487744071833,0.0220529577661462
38,1.86721261947435,241.8215572067,0.0163164166666678,0.0066872706451249,0.0612444777182892
40,0.938502272331572,685.270676660334,0.0244331666666661,0.0151917716341067,0.0565944583905281
42,1.88998473444693,659.202228067468,0.0503292500000011,0.0176577982517749,0.0385762888939374
44,2.79827525588163,557.28138107992,0.0933749583333322,0.0161865537420607,0.024835785575172
46,2.32556826505882,486.155429495807,0.100627291666666,0.0193648222482288,0.0306394442297832
48,3.14395380674367,548.262182605829,0.109510708333334,0.0212344274407941,0.0374485814193389
50,4.55131122470251,216.318886601756,0.258508124999998,0.0098967629534266,0.019519536848701
52,6.44072525807641,308.53159632813,0.189368749999999,0.0140775718194955,0.0358717685427594
54,9.86380952683969,680.313930828121,0.0735997499999999,0.0369253264263067,0.0896765345653857
56,11.6090748072162,432.309589351526,0.0961396666666656,0.0275974706455841,0.079465384245484
58,12.3931891066908,617.814379246029,0.0730513333333323,0.0354985472419272,0.113037017692363
60,12.9989491781791,965.500803353875,0.0351245833333339,0.07449511408806,0.25791356784956
62,14.1795520168834,162.501727041091,0.183005583333334,0.0140914521617155,0.0542946232593107
64,15.3764568284927,124.288246821189,0.148808541666665,0.0165587883327949,0.0713915686310539
66,16.9780203650769,1026.92844075249,0.0200657500000011,0.12047677037,0.590768980273575
68,17.9875136424202,236.258050605041,0.0733212916666686,0.031710992550465,0.165243625642107
70,16.5550630110733,167.102331056965,0.0803050833333329,0.0272375859482513,0.160578156496596
72,15.7754567024454,191.341717340003,0.0671656666666675,0.031375939702933,0.192466065532406
74,14.967501227314,122.169878249193,0.0751016249999997,0.0264902950261836,0.176434986561224
76,12.5902202827854,225.493353586549,0.0763385416666669,0.0267205252991839,0.174852830175
78,9.95830315992739,230.141667686051,0.0684470833333336,0.0307926842569859,0.191654914029438
80,7.11204923331516,163.959166024284,0.0808146666666646,0.0256909118825876,0.158967191386941
82,5.72860076470994,149.789026918785,0.0814930833333335,0.0247944353505598,0.157072432202416
84,5.98404724718582,109.051677437874,0.0810151666666661,0.0249652246771414,0.148028576795694
86,4.94562435084439,567.849617876397,0.0163992916666666,0.132034234220527,0.71175259485224
88,4.80854037487635,162.778063941159,0.0448474583333347,0.0493283442372659,0.243583450802954
90,4.36043984400227,81.5727175219782,0.0830999583333328,0.0280477798612976,0.131532056381599
92,4.94258934472387,129.306481399106,0.044758249999998,0.0504774282393416,0.249668022497385
