Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,0.312488568755063,2.0573972128834,0.269589416666667,0.260269,-0.001529
1,1.21154384356427,0.0,-0.0325457499999988,0.267019,-0.000504
2,1.68913133397106,0.0,-0.0671904166666698,0.215342,0.000867
3,2.52959695858704,8.71890466827269,0.0421285000000022,0.111013,0.002088
4,2.57237145559417,4.80305607878052,0.0746036666666683,0.078841,0.003061
5,2.42299208659283,55.4858873701728,0.0072175833333307,0.131597,0.003693
6,2.42835718435447,0.0,-0.0160171666666666,0.129177,0.003971
7,2.56871660795461,8.43274482189365,0.0395755833333299,0.053064,0.003932
8,2.83468549479169,5.48622000148524,0.0596194166666664,0.062733,0.00344
9,2.74481689089435,0.0,-0.037816499999997,0.210351,0.00283
10,2.48285389538056,0.0,-0.0551872499999983,0.215518,0.002127
11,2.37619670888017,0.0,-0.0102795000000023,0.147345,0.001462
12,1.53617546738437,8.81902957110305,0.0499246666666628,0.077239,0.000955
13,1.459365869105,25.6700390612695,0.0115848333333333,-0.063479,0.000476
14,1.78059658446736,0.0,-0.0551268333333314,-0.026557,-4.6e-05
15,2.45646351547405,12.9092868738088,0.0366366666666623,0.22781,-0.000524
16,1.59144023226834,4.80815572285325,0.054225749999997,0.274061,-0.000928
17,1.26446203896987,77.6607970422164,0.004587583333335,0.202436,-0.001216
18,2.10784187392041,0.0,-0.0082039999999974,0.156766,-0.001344
19,2.60086430348745,8.19222250528268,0.0333910833333337,0.213211,-0.001548
20,2.82764308333617,1.99397407141207,0.123558083333331,0.225097,-0.001752
21,2.65621536813588,0.0,-0.0229405000000001,0.139704,-0.00177
22,3.36004933408744,0.0,-0.12160658333333,0.251358,-0.001997
23,4.15976187729271,0.0,-0.010245583333333,0.320878,-0.002211
24,4.50143597737546,195.965740867721,0.049052083333331,0.315963,-0.002087
25,5.11500998398486,381.283258560447,0.0475163333333336,0.462615,-0.001966
26,6.17524981966021,0.0,0.0025541666666691,1.28589,-0.001851
27,7.27266757758002,0.0,-0.0154327499999981,2.30117,-0.001277
28,8.63403556144865,198.970234038037,0.0955156666666639,3.65645,0.000907
29,11.9528261490604,131.689889933791,0.128317250000001,5.3297,0.006506
30,17.0963480123433,0.0,-0.0405902499999987,8.13506,0.017883
31,21.6291667100646,0.0,-0.0224459166666697,11.638,0.034901
32,27.2240769611278,82.4205482037965,0.0891666666666626,14.7418,0.056962
33,32.3508538101523,36.8710483950753,0.169146666666672,17.4544,0.082364
34,39.7030257265069,107.361017063733,0.0278810833333327,19.0538,0.106917
35,48.27424974734,0.0,-0.109344583333336,19.957,0.129472
36,55.5728126191224,169.889713469025,0.0107799166666697,20.3502,0.149336
37,63.0706212189715,8.18323115621983,0.207454750000001,19.9981,0.163265
38,69.3703563347878,29.088029113998,0.0837297500000004,19.1566,0.174322
39,73.1455415909077,0.0,-0.114507083333338,17.9362,0.181232
40,76.4129360923913,108.819146562725,0.0314374166666713,16.5364,0.185159
41,80.8415916644768,40.9494922373648,0.109020499999999,14.992,0.186187
42,82.2915151921651,80.6968070659823,0.0672346666666659,13.4648,0.18507
43,83.5878463796665,0.0,-0.0030679999999983,12.2195,0.182878
44,84.8929994020876,369.731206185431,0.0187844166666669,11.3999,0.180163
45,84.7372695602747,43.6617919126369,0.153613333333331,10.7471,0.177688
46,85.7623096518473,70.2383552561169,0.0884010833333342,10.1322,0.17571
47,85.3071679200109,0.0,-0.112095250000001,9.92365,0.173914
48,86.9849850786037,463.94179157131,0.0145733333333353,10.0097,0.172557
49,88.161594081989,35.7698946702521,0.163435833333336,10.0491,0.171147
50,89.0550385726158,224.251466525793,0.0224561666666675,9.99903,0.169796
51,88.2195845787002,0.0,-0.0661831666666662,10.1778,0.16876
52,89.7124897616214,44.367241693412,0.0731684166666646,10.6373,0.168161
53,90.8586317839252,11.8114939644891,0.229967416666666,11.2849,0.167882
54,91.5684631100396,61.2396176563544,0.0359765000000009,11.4773,0.167749
55,92.5616598379756,0.0,-0.129541249999998,11.0981,0.167594
56,92.9224160414467,16.7457109534252,0.0828357499999963,10.7978,0.16712
57,93.8627914678795,14.7298519125692,0.122284249999999,10.3072,0.166277
58,92.7878139828063,145.468931049011,0.0091841666666709,9.73388,0.165014
59,92.5209318302142,0.0,-0.0076933333333328,9.21076,0.16333
60,94.0065171604088,24.1341690507205,0.0341669999999983,8.77862,0.161443
61,94.0825756319735,7.12321974839091,0.113267416666669,8.35578,0.159298
62,92.7590173863954,35.3727728513014,0.0184359166666687,7.84929,0.156826
63,91.4418951586843,0.0,-0.0771251666666686,7.34857,0.154256
64,90.670125967794,6.60332420606309,0.0876905833333357,6.97593,0.151676
65,90.2211602992692,4.12636627128985,0.129430583333333,6.75121,0.148731
66,87.5183802245453,0.0,-0.041207416666668,6.47018,0.145598
67,87.1105590031079,0.0,-0.0820775833333342,6.39488,0.142449
68,85.4863766962926,6.26305755047158,0.0812864999999997,6.43296,0.139527
69,84.5020211261156,3.53435355522792,0.176721416666665,6.7014,0.136826
70,84.2366101756623,0.0,-0.0222115833333329,7.17327,0.134209
71,83.8051845621666,0.0,-0.120089083333329,7.57166,0.131642
72,82.0213176823974,5.97459835901959,0.0772289166666642,8.0522,0.129029
73,80.7361903649533,3.73361210099017,0.117746999999996,8.88797,0.126023
74,79.5613463015948,0.0,-0.0356289999999972,9.6447,0.123002
75,77.9995302576796,0.0,-0.0705948333333293,10.5892,0.120009
76,76.5657651967603,6.51857448309789,0.0817019166666698,11.6304,0.116811
77,74.8062920755172,3.28617235115727,0.168175333333332,12.6988,0.113859
78,73.440031039664,27.1065513803222,0.0203894166666618,13.7272,0.11083
79,72.1714105766245,0.0,-0.0624427499999971,14.9194,0.108076
80,69.1819568759811,7.07391666773335,0.0619144166666696,16.3381,0.105263
81,67.5430239278805,8.74756927558485,0.0686980833333344,17.7275,0.102303
82,66.2761654409802,0.0,-0.0644026666666656,19.161,0.099494
83,65.7991990137566,0.0,-0.0654775833333344,20.4586,0.096924
84,63.9451291828772,14.8382788231204,0.0314908333333352,21.8375,0.094318
85,62.2805982722237,3.77939378189541,0.112711749999998,22.9108,0.091852
86,60.2481271817023,24.5852649567229,0.017881166666666,24.2947,0.089634
87,59.8978115777645,0.0,-0.0743751666666643,25.6848,0.087546
88,58.8127601527842,4.71691618565628,0.0798917499999992,27.0126,0.085571
89,58.2844880379304,2.91092993644813,0.161385249999999,28.4707,0.083439
90,57.3631512938155,6.29809664866591,0.0702123333333352,30.1451,0.081211
91,55.9487319822648,0.0,-0.0559980000000012,31.5483,0.078963
92,54.0708271445795,13.1632499562602,0.0376562499999983,32.816,0.07683
93,52.1630036405571,2.80519207436141,0.123394083333331,33.3703,0.075247
94,51.4991895084073,0.0,-0.0357692499999983,33.2334,0.074673
95,50.8717767746523,0.0,-0.126174916666664,33.0125,0.075256
96,51.0200657444092,14.4624346796452,0.0346289166666652,32.6535,0.076591
97,51.6112550386665,3.02468670353012,0.127818833333334,31.968,0.078137
98,51.7109326083087,0.0,-0.0419094166666672,31.2779,0.079507
99,51.3424194890437,0.0,-0.0744479166666654,30.6355,0.080633
