Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (kg/kg),CO2Y (kg/kg)
0,2.80862530173409,4.75192276874094,0.0892050833333246,0.0002541626367301,0.0145867522090368
2,3.1863665062098,0.0,-0.0363502499999958,0.0,0.0
4,3.20604761352245,28.8855177113937,0.0293594166666663,0.0001512292440875,0.0300326826279678
6,1.72041214584991,0.0,-0.0173921666666672,0.0,0.0
8,2.4484342463737,0.0,-0.0525979166666663,0.0,0.0
10,1.9457177254315,0.0,-0.022066416666665,0.0,0.0
12,0.78288663643441,0.0,-0.0287084583333304,0.0,0.0
14,1.04239859909969,0.0,-0.0016998333333339,0.0,0.0
16,1.78636537624471,0.0,-0.0027715000000014,0.0,0.0
18,0.717302110564405,0.95442411855728,0.0235722500000003,0.0017221589681468,0.0428876580550848
20,1.22675491123377,16.6503549029705,0.0293265833333347,0.0030786618414022,0.0251258127980861
22,-0.113242829050952,220.307633660802,0.0015600833333338,-0.0010131504237315,0.542022849445705
24,-0.298236075180479,0.0,-0.0006114583333329,0.0,0.0
26,0.434048266670785,-51.5078683878129,0.0033062499999978,0.0074908574522998,-0.0119605309641763
28,-0.15831906062307,0.0,-0.0232865833333342,0.0,0.0
30,-0.0627410016271729,0.0,-0.029411499999999,0.0,0.0
32,0.497302650528191,0.0,-0.0021101666666636,0.0,0.0
34,1.08279967698753,-883.458203575436,0.0008497916666646,-0.134245570451033,0.158986361594416
36,-0.175291040948054,0.0,-0.0039518333333325,0.0,0.0
38,-0.527077906359695,14.5602448639354,0.0294407916666686,-0.0033597998278156,0.0144634918305884
40,-1.24950558474366,1.72998120763281,0.0283652916666647,-0.0035049092257963,0.0278639513990557
42,-2.10646931134027,67.6744856375957,0.0017057083333342,0.0151039084553341,0.264064581321049
44,-1.91580346723451,-8277.42922981275,7.99166666662169e-05,0.721505944953087,3.90095773467524
46,-1.26598341339445,0.0,-0.0023387083333329,0.0,0.0
48,-2.14379829368882,0.0,-0.0225796666666662,0.0,0.0
50,-1.85027863113148,0.0,-0.0293159166666686,0.0,0.0
52,-2.24448673801935,0.0,-0.0017037500000004,0.0,0.0
54,-1.11514487817528,0.0,-0.0028782499999996,0.0,0.0
56,-0.750293838071405,-13.5001777891519,0.02338475,0.0008471630292592,-0.0008428831588692
58,-1.09693589180574,-9.83617848711254,0.0293588333333335,0.0043087769722787,0.0013568832513122
60,-0.646832189688362,71.2595879986781,0.0017573749999983,0.0898600627644952,0.0090926323017266
62,0.228649920024213,0.0,-0.0008640000000002,0.0,0.0
64,-0.148906442697808,0.0,6.20833333275783e-06,2.54334301242268,11.5984900576702
66,0.142524289321672,-304.141160783197,0.0010073750000015,0.0123167417669916,-0.0422489892210879
68,0.226391652441776,0.0,-0.0025336250000001,0.0,0.0
70,-0.157652559473795,0.0,-0.0235490833333343,0.0,0.0
72,0.226653895655399,0.0,-0.0235419166666653,0.0,0.0
74,0.142471278045861,0.0,-0.0059654583333322,0.0,0.0
76,0.0168729435126988,-35.6262822376126,0.0283048333333322,-0.0020093233650643,-0.0075920416838645
78,0.411648425273784,0.0,-0.0041157916666684,0.0,0.0
80,-0.0021695465626919,-340.3333904887,0.001892791666668,0.0335239885419677,0.197532996177334
82,-0.0451850725802606,-15.2052701916941,0.0327733750000023,0.0012130731981978,0.0115474254089094
84,1.17929423485591,0.0,-0.0075561666666669,0.0,0.0
86,1.21982446593982,-20.1594951827897,0.023226999999998,-0.0002112629198149,0.0031124459531401
88,0.996366711037801,-16.8778581196705,0.0294700000000017,-0.0014407578765646,0.0051774053643722
90,1.51482368340528,-103.211580132399,0.0063254583333328,-0.0050483951770009,0.0092596769992229
92,0.169108880639486,0.0,-0.0311406250000002,0.0,0.0
94,0.960845689669292,0.0,-0.0234566250000003,0.0,0.0
