Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (kg/kg),CO2Y (kg/kg)
0,3.54940660437034,0.214539302151924,0.222272874999977,0.0004826748318326,0.0078632507644732
2,2.55232862561798,0.0,-0.071987874999999,0.0,0.0
4,2.88322968970895,0.0,-0.053974874999998,0.0,0.0
6,2.62647131934952,0.0,-0.0051329583333344,0.0,0.0
8,2.92313422419432,0.0,-0.005428583333332,0.0,0.0
10,2.00652357612823,4.37689831530913,0.006278458333336,0.0044010407714618,0.171022000725056
12,1.49738031588879,27.1892987076921,0.002010374999999,-0.0122021657360291,0.533913142459939
14,1.79842965779935,7.29462690823172,0.0230543749999989,-0.0043989299618782,0.0575214859654438
16,1.79339086366784,9.57279196370203,0.0268344999999991,-0.001142843025227,0.0538657852884479
18,2.70141303911084,0.0,-0.0271422916666673,0.0,0.0
20,5.41518167181891,0.0,-0.0224284583333339,0.0,0.0
22,18.9115840888307,0.0,-0.0104730833333321,0.0,0.0
24,44.0001613588962,425.680392005778,0.0502967916666647,0.0029114896113725,0.0384435761059817
26,66.5608360434579,425.029971977677,0.0593625833333347,0.0024441657830799,0.0567103938773112
28,83.1242160566237,1048.37510342549,0.0232262083333354,0.0127445490662427,0.231876949432428
30,93.6440468491711,559.162277374174,0.0490650833333328,0.0097236794369113,0.166998716609481
32,100.753394316571,600.006554582568,0.0435611250000001,0.0155571586624205,0.273866187417477
34,103.770459514808,389.21993065145,0.0558615416666678,0.0150471131719546,0.289175118690568
36,105.440915003992,459.286427821123,0.0566502083333305,0.016924793863455,0.375148429230796
38,106.070400242526,510.311378931901,0.0462005833333343,0.0251121015690401,0.545753355557467
40,107.341594654187,449.438407897512,0.072277458333336,0.0178330570634318,0.41861450412007
42,109.16355324424,463.064754681569,0.0749875833333338,0.0207135918590876,0.459661940697405
44,115.551544107004,502.565294278487,0.0754802083333338,0.0237276777312206,0.494703655263806
46,122.503259491475,663.472083974046,0.0727293333333341,0.0269356371380221,0.561342998071973
48,131.91235108777,992.815262410073,0.0469784583333327,0.0453825642655874,0.937281344375389
50,137.815805866375,1022.93977992379,0.0562772916666653,0.0405716124686029,0.83709550511611
52,143.84545406107,925.387966958964,0.0524305416666667,0.0489477845007443,0.966864901060294
54,153.094717450861,853.99020145713,0.0717704166666664,0.0391458284247813,0.743514375006129
56,161.888391246801,967.215898024833,0.0680560833333329,0.0439820667087093,0.835751486661873
58,170.316853773807,1048.64821978387,0.0762915,0.0452595327784677,0.803233820755556
60,181.870894580544,1247.15637003771,0.0826476250000002,0.0456545994747426,0.790339511781339
62,193.019375412078,1373.93841473311,0.0657226250000003,0.064940715598823,1.05275249397591
64,203.271370648198,820.805661192481,0.119633208333334,0.038742550655472,0.609650030948532
66,215.88469313904,870.076678427409,0.131153499999998,0.0388246801565113,0.594524586387213
68,220.734359408693,1188.96158222112,0.10035475,0.0552406054506075,0.818118196889425
70,219.486761954685,827.825589909371,0.122048083333334,0.0472619396282467,0.704146596399699
72,224.314913882046,912.539642097286,0.123745083333335,0.0493019072515852,0.737248801821423
74,221.611221212873,839.872902088905,0.130960125000001,0.0463966487929521,0.718201019352432
76,227.714226268401,978.822648242256,0.123714625000001,0.0501617146034382,0.798638659988217
78,232.813681292076,1046.82938187722,0.121803874999999,0.0503247567803727,0.825929603696418
80,237.974992327381,772.473302623785,0.154205375,0.0417461568203896,0.672684163875011
82,248.254714831983,948.484349733144,0.143887416666664,0.0496830194675291,0.762040581101384
84,250.472680122375,839.668703010447,0.146066083333334,0.0508118259621311,0.76147043405115
86,258.581864137315,935.358728341434,0.149829375000001,0.0515903010249185,0.755352167147155
88,270.404456562248,1026.46293338713,0.153804208333335,0.0563166734503384,0.779453070169639
90,262.206821970277,1059.9493078059,0.127763208333332,0.07239646871111,0.936773082703685
92,266.771195036984,1330.14859642792,0.124632666666668,0.0816161818084046,1.02155004979222
94,257.929735810386,1091.90047632545,0.154410083333332,0.0684073110887941,0.832936592451643
96,252.179373146876,1127.63398046124,0.143533499999997,0.0775275777620871,0.911831606911591
98,244.1351501715,1047.93710924185,0.146079833333335,0.0783839540416341,0.903090376603247
100,238.937958416946,1014.87464758029,0.181157541666668,0.0657173361696238,0.732953690675957
102,239.487048845065,1033.55253397822,0.167430125,0.0737428018188308,0.796657139361228
104,234.648449082049,913.318986987531,0.176142583333334,0.0710160604794324,0.749751158224517
106,236.050284613279,1006.39613147568,0.174799958333334,0.0734835181607323,0.762787547010605
108,236.23863087031,962.752997168276,0.175919916666664,0.0733416045422302,0.752696044058092
110,235.652811165979,1090.44432777435,0.178615583333332,0.0729387360750712,0.73746406458076
112,236.76876004768,1268.27508026138,0.144824833333334,0.0922562011211,0.918608476033325
114,238.034956862431,1397.96765307683,0.149553333333333,0.0914275426040848,0.89686689665022
116,230.780349308353,1202.78042280194,0.156036333333333,0.0893037946571867,0.849416990305754
118,228.048717887782,1133.92564797602,0.152273625000001,0.0944112973365559,0.877371745200863
120,225.64451077197,1492.45880411594,0.141669541666667,0.1040867950337,0.933521533699312
122,226.24087309797,1356.90440211152,0.146214833333334,0.105113620632987,0.911082740331823
124,222.330666949885,1115.83782490682,0.179630250000001,0.0881291893968074,0.727195529043623
126,222.441041498479,1208.6064628977,0.170742708333334,0.0966648335349388,0.758229054853788
128,221.230259626945,1086.89147926459,0.197553333333333,0.0864205560190249,0.649825349643385
130,222.765090899052,1086.34417370919,0.210950416666665,0.0838488674222807,0.606516880494545
132,222.390971379404,1469.07739695458,0.175715791666667,0.103426031166016,0.727943990785548
134,217.020545372748,1217.28025108559,0.177240833333334,0.104900669573144,0.718305551430749
136,210.046167979916,1430.61160765157,0.154088166666666,0.122889491985732,0.825466941770725
138,209.197648019825,1469.93415360591,0.150285541666667,0.127682541077867,0.844330870028102
140,207.541796659125,1453.67956968738,0.142396625,0.135831070581756,0.888148749259057
142,199.701362166434,1439.18941827738,0.145475416666666,0.133716059282842,0.855695193407423
144,197.210585473553,1123.30071194302,0.180241125000001,0.109578323315422,0.691771149488572
146,189.276805218188,1148.5663155319,0.170903,0.112248001529541,0.705665578174848
148,189.043263783301,1203.71711766327,0.17179875,0.111723400801515,0.697684628917517
150,191.978637631889,1283.07054603872,0.180782625,0.108229005847473,0.662580278687041
152,187.283155978419,1119.92548089477,0.177175,0.109239494512315,0.659702177197011
154,186.513656727537,1286.41905907576,0.173205625,0.11175915026522,0.666445941167404
156,188.833857891738,1438.21985532337,0.147283041666666,0.133707050327032,0.784566531672259
158,187.171853829686,1352.04554124843,0.151855875,0.128427671696407,0.750331542140574
160,188.922207773497,1752.47399820574,0.12730525,0.152392712361883,0.895052428386003
162,186.49483387457,1585.03649712423,0.125903291666666,0.151460520207856,0.890662297856307
164,187.12451971226,1641.45066600518,0.153399958333334,0.124452618703538,0.740458795083772
166,181.086347887926,1387.90716513156,0.150768291666667,0.121937008193589,0.730386716635137
168,177.791887063473,1664.91600911691,0.148892375,0.120306793536551,0.733804751685946
170,174.786300130077,1384.99539749087,0.147268791666665,0.117864195071832,0.730138009278264
172,178.30450704226,1332.55559202966,0.17341925,0.100675229447146,0.627709156739704
174,174.112649016308,1149.7263906882,0.172942375,0.100715178198984,0.62382896133476
176,170.496681957245,1267.1624609363,0.15120325,0.112206529525929,0.701657824385806
178,169.32399544519,1727.48423084199,0.125540666666667,0.131887863935571,0.83831256373562
180,166.992910502886,1687.23526271066,0.131099166666668,0.122673487473266,0.802217595351965
182,165.216437663443,1495.59299952482,0.128383,0.124257709765071,0.82031404126
184,164.393292479935,2359.24691294043,0.0908802499999997,0.172734543186053,1.14337649340114
186,163.747334929745,1623.04208901208,0.124905625,0.12260369820236,0.826604563371137
188,160.875816052182,1629.13561720877,0.130457,0.112101708661376,0.777948569562066
190,162.380036406793,2173.0078862945,0.0973674166666673,0.147848594418329,1.04351552146896
192,158.695468254749,1789.74681876099,0.1205775,0.114368192563692,0.824909072663171
194,159.251777099159,1509.8271853145,0.126582791666666,0.106314016605565,0.785863119620282
196,158.555465125517,1604.83714760966,0.121305708333334,0.10617268416218,0.809278057062964
198,159.996728271137,1363.91584899748,0.149970041666667,0.0852586353046542,0.65844067672874
200,159.129972284,1588.99023013725,0.132860416666667,0.0936393111362236,0.739037736597117
202,155.641451650341,1732.14426277369,0.0972695416666663,0.121746510380054,0.986182591880205
204,155.435030964513,1481.47328438496,0.125420666666667,0.0912138465597924,0.764833889332152
206,157.215542648488,1904.41152896235,0.101942875,0.107868658333587,0.929968885991842
208,160.798317173001,2227.75450318859,0.070519166666668,0.152896476364506,1.35444277600547
210,161.022763775082,1478.28831896615,0.129112875,0.0812539091509929,0.743782871164547
212,162.169684617047,1902.34194872762,0.103344166666665,0.09693975884683,0.918445260959964
214,160.403958374683,4276.17119377362,0.0442447916666677,0.21786047188953,2.12332072089353
216,160.150979087046,2361.81522441073,0.0756756666666668,0.126316227829514,1.24874002356894
218,157.273586800924,1573.46011063935,0.102830791666665,0.0888678177769363,0.907011658062554
220,162.828998905199,1736.90129219518,0.0985414166666671,0.091133783837745,0.968299459794041
222,159.837419076223,1704.97249313659,0.101534500000001,0.0837187321599987,0.920870765411669
224,161.35019394864,1778.51000859986,0.101154041666667,0.0800776677212093,0.925777926385062
226,159.677944262448,1687.07267082531,0.0958389999999993,0.0807372509954732,0.97579086295837
228,158.850938473681,1271.66049181004,0.123837250000001,0.0615217128811077,0.763761090623618
230,158.441549404276,1726.98936986405,0.107410666666667,0.0690976246312461,0.877320559039687
232,158.485544423247,2222.6613790794,0.0739413749999998,0.0964345748245601,1.28105761245524
234,157.861167084333,1687.61463582225,0.0990908333333331,0.067787264869918,0.950331105848663
236,156.817574818672,1834.70969661064,0.0822131249999991,0.0764322349627179,1.1406138447288
238,153.314736647694,3227.42755164869,0.0452679166666671,0.130711060479239,2.04095876770396
240,154.706860865565,2580.16850624139,0.0465297083333343,0.125514350506638,2.024123945292
242,154.407155188631,1697.17292363013,0.080305583333334,0.068077607143929,1.16463268995811
244,150.6670712238,1814.04137658068,0.0735483333333328,0.0707804212958371,1.25062107899874
246,150.736847254888,2155.07203736464,0.0705900833333328,0.0710111917985837,1.31368858111477
248,150.218312409072,1346.39649011654,0.0981195416666673,0.0508228352372492,0.940895073709365
250,149.610084594738,1076.31248865193,0.106628500000001,0.0453372019474234,0.865400750297086
252,152.280969482913,1847.10589174193,0.072051458333333,0.0658870210874598,1.28603965151114
254,152.357754325504,1538.59375702491,0.0731992083333326,0.0602383893372761,1.25458588667486
256,151.434417374342,1364.52884364237,0.0819089583333329,0.0511835159496513,1.11760132806065
258,151.083089960071,0.0,0.0223549583333327,0.184646493024026,4.0900353757431
260,150.697081643664,3778.79437026208,0.0265162083333341,0.147110079344381,3.45012096450297
262,147.615541955854,2601.90240896993,0.0507040000000002,0.0757137733284246,1.79164661371887
264,147.519961684341,1707.61286336681,0.0740875416666662,0.0508669294918215,1.22110605688279
266,145.660166596641,1504.73584555862,0.0716419999999999,0.0493545327835299,1.24533176442829
268,144.054685336471,2055.97207934476,0.0475703333333333,0.0715792029240119,1.86656082376845
270,144.158613338184,1377.75520856036,0.0754081249999999,0.044781523403735,1.18395306423703
272,142.448889571498,964.372827390272,0.102868416666666,0.0322326904079734,0.856831284179247
274,140.724114852561,1275.15429671044,0.0768048333333335,0.0427462722555174,1.15610534930509
276,138.49416906211,1962.83364864622,0.0458182916666667,0.0703856679800204,1.93605199579688
278,132.923438969766,1661.05485364228,0.0486647916666665,0.0642088330318118,1.77730102264112
280,129.711065681675,1497.92827521778,0.0491824166666667,0.0618941828418893,1.74549158124712
282,128.961950380845,1631.30293575593,0.0535457083333337,0.0552140076369686,1.60935023327598
284,120.337159227954,1946.23657980704,0.0307721250000002,0.0875725274844436,2.68054581545428
286,117.272432694195,0.0,-0.0024032499999999,0.0,0.0
288,113.870215862914,2381.31822967388,0.0250772916666665,0.0988634694218847,3.27139264447101
290,111.301126949621,1226.98917190658,0.0487467500000001,0.048511040430678,1.66724770386434
292,108.1315669152,1086.32050537404,0.0450038333333328,0.0469087312622625,1.76032792989664
294,105.032327350727,752.667298738278,0.0548639166666668,0.0346352145619119,1.41483387518083
296,101.825769948104,1672.96775202718,0.0266631666666663,0.0675059318432123,2.87692029467875
298,97.6196183547821,1671.14178290362,0.0266549583333332,0.0701772444134998,2.81462262014532
300,94.3546922163913,715.693413180965,0.0520463750000001,0.0360655725410306,1.41925733512426
302,92.2393975892134,747.942941826235,0.0487889583333337,0.0382001306257113,1.48431749363547
304,89.9351167371506,739.687714437669,0.0548021249999995,0.0333709904374524,1.30537383512439
306,86.904305163094,1201.78001890726,0.0217835,0.0783833155378034,3.19683897269326
308,82.9071678141458,1494.97469305063,0.018560166666667,0.0908865897435675,3.66087605162972
310,79.1703750018665,838.649026964812,0.0295886249999996,0.055104036064713,2.24117934582652
312,76.5059344396886,0.0,0.0025320833333336,0.670480530629565,25.6446439827961
314,73.8315346816579,0.0,-0.0007349583333335,0.0,0.0
316,71.6306987492166,0.0,-0.0043233750000005,0.0,0.0
318,69.6467125814427,764.863595252073,0.0291237499999999,0.0486781013112099,2.076426489272
320,66.9977638898449,786.335582351454,0.0255564583333337,0.0558393999361139,2.29636033901458
322,63.8573214531629,706.261135421436,0.0252263333333333,0.0574794740046137,2.25635708285982
324,62.7336457528631,809.518391318499,0.0249746666666665,0.0545217697519593,2.22076615485973
326,59.8966716060578,887.416254215717,0.025010083333333,0.0499613808483772,2.18823340777659
328,58.4989279057607,676.242009440951,0.0252569583333332,0.0540042995834861,2.10687364300641
330,58.1711525542402,950.300447227517,0.0193080416666667,0.0744620030988507,2.69415607737828
332,55.9703761616696,317.269879602245,0.0568444583333335,0.0240012994353654,0.894993239850303
334,55.1542118675897,500.402703014173,0.0213931666666665,0.0620672798197694,2.30892329451576
336,53.848838776883,517.227031810952,0.0254559583333331,0.0536546709690073,1.90660937855612
338,51.4970243036285,349.655581844417,0.0295808333333337,0.0446479311871606,1.60649222555891
340,51.5733882421605,0.0,-0.0044707083333338,0.0,0.0
342,50.5965530075582,0.0,-0.003693083333333,0.0,0.0
344,48.8761500031115,546.072077755885,0.0228586666666667,0.0520702826102613,1.93609139298288
346,48.382607454227,283.229289590665,0.0296120000000003,0.0420123082534628,1.43834577834844
348,47.1262379087455,3149.9059785484,0.0023604583333336,0.542791140000426,17.6334488887588
350,47.6339559851449,0.0,-0.0009990416666669,0.0,0.0
352,46.2522078935626,0.0,0.0002633333333334,4.33871453904754,152.499378486943
354,46.2876243865274,0.0,0.0001122500000005,9.57904398177197,356.981881157853
356,45.9021980801152,0.0,-0.0041769583333333,0.0,0.0
358,45.3874272235032,349.001102146967,0.0290697499999996,0.0380350743685985,1.32267417214439
360,44.5930160850727,335.498889638971,0.0259593333333332,0.0468460561542887,1.4640649363642
362,41.5608891245694,334.659949487641,0.0188641250000004,0.0666340057170763,1.96406718099316
364,41.1622936280489,330.757178859297,0.0259770833333334,0.0491610203734,1.39360356545345
366,42.3574458806132,290.025923314094,0.0260226666666667,0.049379532437291,1.3911764849574
368,41.2439563333564,357.495339501622,0.0175397083333333,0.0693681683164239,2.00995537326572
370,40.7550638634908,186.238596582671,0.0319924166666663,0.0368045419440619,1.08441338423372
